order_id truck_id unload
20042 1 1
20031 1 2
20024 1 3
20029 2 1
20003 2 2
20038 2 2
20018 2 3
20053 2 3
20028 3 1
20020 3 2
20002 3 3
20037 3 3
20017 4 1
20052 4 1
20021 4 2
20035 5 1
20008 5 2
20043 5 2
20005 6 1
20040 6 1
20019 6 2
20054 6 2
20013 7 1
20006 7 2
20041 7 2
20023 7 3
20039 8 1
20016 8 2
20051 8 2
20012 8 3
20047 8 3
20009 8 4
20044 8 4
20004 9 1
20015 9 2
20050 9 2
20048 9 3
20026 10 1
20027 10 2
20014 10 3
20049 10 3
20033 10 4
20007 11 1
20030 11 2
20011 11 3
20010 11 4
20045 11 4
20001 12 1
20036 12 1
20032 12 2
20025 12 3
20022 -1 -1
20034 -1 -1
20046 -1 -1
