item_id order_id truck_id unload x y z rotation_axis
100004 20003 1 1 2414 255 710 -1
100005 20003 1 1 3559 145 1440 -1
100006 20003 1 1 3559 130 900 -1
100007 20003 1 1 8369 15 0 -1
100209 20040 1 1 3559 525 1960 -1
100210 20040 1 1 8369 515 530 -1
100211 20040 1 1 8369 515 960 -1
100212 20040 1 1 8369 515 1390 -1
100185 20036 1 2 469 35 0 -1
100186 20036 1 2 2444 35 0 -1
100187 20036 1 2 4419 35 0 -1
100188 20036 1 2 469 1235 0 -1
100189 20036 1 2 6394 20 0 -1
100190 20036 1 2 2444 1235 0 -1
100191 20036 1 2 4419 1235 0 -1
100192 20036 1 2 6394 1250 0 -1
100059 20012 2 1 3467 1223 1200 -1
100060 20012 2 1 1262 168 0 -1
100061 20012 2 1 3467 168 0 -1
100062 20012 2 1 5672 168 0 -1
100063 20012 2 1 1262 168 730 -1
100064 20012 2 1 3467 168 730 -1
100065 20012 2 1 5672 168 730 -1
100066 20012 2 1 1262 168 1460 -1
100067 20012 2 1 3467 168 1460 -1
100068 20012 2 1 5672 168 1460 -1
100069 20012 2 1 5672 1223 1200 -1
100070 20012 2 1 5672 1223 1930 -1
100240 20049 2 1 7877 508 2174 -1
100241 20049 2 1 10577 508 620 -1
100242 20049 2 1 10577 508 1129 -1
100243 20049 2 1 10577 508 1638 -1
100244 20049 2 1 10577 508 2147 -1
100245 20049 2 1 7877 535 0 -1
100246 20049 2 1 10494 535 0 -1
100247 20049 2 1 7877 535 1554 -1
100248 20049 2 1 1447 1223 1200 -1
100249 20049 2 1 1447 1223 1896 -1
100250 20049 2 1 7877 500 620 -1
100251 20049 2 1 1337 1223 0 -1
100252 20049 2 1 3517 1223 0 -1
100253 20049 2 1 5697 1223 0 -1
100003 20002 3 1 9723 363 0 -1
100202 20039 3 1 9723 275 530 -1
100203 20039 3 1 9723 275 1130 -1
100204 20039 3 1 3603 275 1180 -1
100205 20039 3 1 6663 275 1180 -1
100206 20039 3 1 9723 275 1730 -1
100207 20039 3 1 3603 178 1985 -1
100208 20039 3 1 6433 178 1985 -1
100138 20027 3 2 1513 1225 1180 -1
100139 20027 3 2 1363 125 0 -1
100140 20027 3 2 3453 125 0 -1
100141 20027 3 2 5543 125 0 -1
100142 20027 3 2 7633 125 0 -1
100143 20027 3 2 1363 1225 0 -1
100144 20027 3 2 3453 1225 0 -1
100145 20027 3 2 5543 1225 0 -1
100146 20027 3 2 7633 1225 0 -1
100147 20027 3 2 1513 125 1180 -1
100095 20017 4 1 5408 379 985 -1
100096 20017 4 1 5408 179 1315 -1
100273 20054 4 1 5408 442 1835 -1
100103 20019 4 2 3200 199 0 -1
100104 20019 4 2 3200 1214 0 -1
100105 20019 4 2 5260 199 0 -1
100106 20019 4 2 7320 199 0 -1
100107 20019 4 2 9380 199 0 -1
100108 20019 4 2 11440 210 0 -1
100109 20019 4 2 5260 1214 0 -1
100110 20019 4 2 7320 1214 0 -1
100111 20019 4 2 9380 1214 0 -1
100112 20019 4 2 11440 1225 0 -1
100275 20056 4 2 1118 658 1760 -1
100276 20056 4 2 3263 639 985 -1
100277 20056 4 2 3263 639 1735 -1
100113 20020 4 3 1180 136 580 -1
100114 20020 4 3 1180 1233 580 -1
100278 20057 4 3 680 136 0 -1
100078 20015 5 1 0 64 0 -1
100079 20015 5 1 2240 64 0 -1
100080 20015 5 1 4480 64 0 -1
100081 20015 5 1 0 1224 0 -1
100082 20015 5 1 2240 1224 0 -1
100083 20015 5 1 4480 1224 0 -1
100084 20015 5 1 6720 64 0 -1
100085 20015 5 1 8960 64 0 -1
100086 20015 5 1 11200 67 0 -1
