order_id,truck_id,unload
20003,1,1
20040,1,1
20036,1,2
20012,2,1
20049,2,1
20002,3,1
20039,3,1
20027,3,2
20017,4,1
20054,4,1
20019,4,2
20056,4,2
20020,4,3
20057,4,3
20015,5,1
20052,5,1
20026,6,1
20024,6,2
20023,7,1
20035,7,2
20001,7,3
20038,7,3
20043,8,1
20009,8,2
20046,8,2
20014,8,3
20051,8,3
20037,9,1
20004,9,2
20041,9,2
20018,10,1
20055,10,1
20013,10,2
20050,10,2
20030,11,1
20029,11,2
20033,12,1
20028,12,2
20025,12,3
20006,13,1
20007,13,2
20044,13,2
20008,14,1
20045,14,1
20010,14,2
20047,14,2
20031,14,3
20022,15,1
20034,15,2
20005,-1,-1
20011,-1,-1
20016,-1,-1
20021,-1,-1
20032,-1,-1
20042,-1,-1
20048,-1,-1
20053,-1,-1
