Name                                      	S10_240T
Number_of_Customers                       	27
Number_of_Items                           	148
Number_of_ItemTypes                       	148
Number_of_Vehicles                        	27
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	-919890.802601141	-720066.7964090473	0	0	0	0	0.0	0
1	1231266.1500408696	1468273.2232201786	2	0	0	0	4923.0	8506499600
2	984465.5317939493	629268.1088746581	2	0	0	0	3556.0	5899745100
3	-1691401.6291339025	-485261.39499153756	3	0	0	0	9018.0	14216147500
4	-1608441.0234271216	-415486.97704565607	19	0	0	0	21826.0	43426402200
5	-1134434.6163494214	12434.507193865606	10	0	0	0	22359.0	41187996000
6	-1813273.52549419	36520.35191750154	2	0	0	0	4255.0	9345805800
7	-2182295.7286169794	-382196.3993599729	3	0	0	0	5469.0	14048088000
8	-387645.3312574408	1310924.4703838925	14	0	0	0	10783.0	19290697000
9	2257509.8933131415	-853400.2359406839	6	0	0	0	5266.0	10614579500
10	1984759.4187927942	-274025.5157054184	9	0	0	0	14867.0	28957816400
11	-269016.1599288297	-212065.5798878755	7	0	0	0	11930.0	26060320200
12	2672860.38164689	-609870.7456925417	9	0	0	0	14063.0	27867355720
13	-412233.3264767991	582790.3056422342	14	0	0	0	9588.0	23737958000
14	-778124.273588122	895775.2756207252	6	0	0	0	19804.0	34865296000
15	532865.4533328759	-684881.7750177081	4	0	0	0	5157.0	11039094000
16	436392.1316981136	-787478.2932310067	1	0	0	0	21.0	82818000
17	-210321.31953544368	-336004.8727924146	3	0	0	0	6160.0	12425379000
18	-837888.953504382	-1393350.1310097808	3	0	0	0	7572.0	17582400000
19	72001.092240305	827901.2485132127	6	0	0	0	13386.0	26039342000
20	452145.98512237385	386703.6968764474	2	0	0	0	4692.0	7721354700
21	-97639.78409271066	223477.03280352772	6	0	0	0	15153.0	25737476000
22	1616487.3458097551	-205482.6177041297	2	0	0	0	402.0	719462000
23	984068.0056817842	19660.02404078309	3	0	0	0	7448.0	15685172480
24	985057.8619715833	361342.37155186216	4	0	0	0	10420.0	15227977500
25	-887718.6449543738	1697964.2689075414	3	0	0	0	4017.0	8710453200
26	-88540.80297991577	-70189.39713590573	2	0	0	0	4505.0	8079426000
27	-891013.3295036643	-1023274.1536227505	3	0	0	0	3469.0	7398121120

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	5745	2240	610	3239	0	0
Bt002	1980	1200	985	1144	0	0
Bt003	1980	1200	985	1118	0	0
Bt004	1980	1200	985	1118	0	0
Bt005	1980	1200	985	1108	0	0
Bt006	1980	1200	985	1155	0	0
Bt007	1980	1200	985	1134	0	0
Bt008	1980	1200	985	1111	0	0
Bt009	1980	1200	985	1145	0	0
Bt010	1980	1200	985	1145	0	0
Bt011	1980	1200	985	1165	0	0
Bt012	1980	1200	985	1093	0	0
Bt013	1980	1200	985	1093	0	0
Bt014	1980	1200	985	1145	0	0
Bt015	1980	1200	985	1145	0	0
Bt016	1980	1200	940	1068	0	0
Bt017	1980	1200	940	1062	0	0
Bt018	4610	1975	410	2189	0	0
Bt019	2630	1290	934	1455	0	0
Bt020	3170	1870	533	1687	0	0
Bt021	5745	2240	480	2397	0	0
Bt022	5430	1110	425	1190	0	0
Bt023	5430	1110	425	1190	0	0
Bt024	5430	1110	425	1190	0	0
Bt025	5430	1110	425	1137	0	0
Bt026	2830	2410	750	3144	0	0
Bt027	2830	2410	750	3144	0	0
Bt028	6130	2425	320	3100	0	0
Bt029	6130	2425	320	3100	0	0
Bt030	2927	2230	610	2307	0	0
Bt031	5840	2210	610	3682	0	0
Bt032	3248	1723	530	1127	0	0
Bt033	2650	1490	934	1841	0	0
Bt034	2650	1490	934	1828	0	0
Bt035	2650	1490	1140	2241	0	0
Bt036	2550	1370	1140	1896	0	0
Bt037	2550	1370	1140	1896	0	0
Bt038	2380	1414	934	1250	0	0
Bt039	3010	2240	190	632	0	0
Bt040	3010	2240	190	632	0	0
Bt041	2640	2140	190	522	0	0
Bt042	2640	2140	190	522	0	0
Bt043	3190	2264	425	1439	0	0
Bt044	5940	2342	300	2693	0	0
Bt045	3320	1780	330	1047	0	0
Bt046	3320	1780	610	1854	0	0
Bt047	3320	1780	610	1854	0	0
Bt048	3320	1780	640	1898	0	0
Bt049	3320	1780	640	1897	0	0
Bt050	3320	1780	640	1968	0	0
Bt051	3320	1780	640	1968	0	0
Bt052	3320	1780	640	1915	0	0
Bt053	2380	1435	509	875	0	0
Bt054	2380	1435	509	875	0	0
Bt055	2380	1435	509	846	0	0
Bt056	2380	1360	509	833	0	0
Bt057	2380	1360	509	833	0	0
Bt058	2180	980	985	1004	0	0
Bt059	2140	860	45	21	0	0
Bt060	2670	1345	1140	2051	0	0
Bt061	2670	1345	1140	2051	0	0
Bt062	2670	1345	1180	2058	0	0
Bt063	3130	2293	390	1530	0	0
Bt064	2900	2160	495	2026	0	0
Bt065	1770	1300	1140	1171	0	0
Bt066	2031	1270	1180	1423	0	0
Bt067	2031	1270	1180	1423	0	0
Bt068	4720	1720	230	1032	0	0
Bt069	4720	1720	230	1032	0	0
Bt070	5980	2410	430	3873	0	0
Bt071	5980	2410	430	3873	0	0
Bt072	6210	2020	510	3904	0	0
Bt073	2690	1270	940	1439	0	0
Bt074	2020	970	295	324	0	0
