Name                                      	S20_288T
Number_of_Customers                       	25
Number_of_Items                           	174
Number_of_ItemTypes                       	174
Number_of_Vehicles                        	25
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	-1098531.949092454	658414.9702855011	0	0	0	0	0.0	0
1	1382868.5874162558	-1000726.8939818699	6	0	0	0	9235.0	16408582000
2	1303963.8485825518	-825406.1357548633	7	0	0	0	19068.0	29960738000
3	1264768.1414391566	-906185.0029124357	2	0	0	0	6060.0	12354048000
4	1112486.6165971658	-329669.598268696	12	0	0	0	9739.0	20997584500
5	-941417.7013137533	55906.392365068285	2	0	0	0	3666.0	6945848000
6	-1700311.9822650685	376921.749750203	10	0	0	0	16021.0	26405853120
7	-1072604.9853966085	-136775.91282406525	8	0	0	0	13964.0	23744014500
8	-2158956.2778879353	-186136.48540240485	7	0	0	0	14665.0	27188376000
9	-955416.0693461295	-7568.69746656492	4	0	0	0	15448.0	25994976000
10	-248127.2093813762	-860062.7952370079	9	0	0	0	19913.0	39313785000
11	-51922.35905668161	-802752.5705226826	2	0	0	0	4406.0	11438215000
12	1776160.8047155673	1056545.6306561327	7	0	0	0	7994.0	16382520000
13	2212782.067768292	1315380.4010761853	9	0	0	0	11170.0	30410333800
14	-831884.0070427433	-205330.35088517662	14	0	0	0	13517.0	28441092200
15	-606530.7649865756	-16805.371185201202	7	0	0	0	8369.0	18026154000
16	-784708.3308202453	-1014988.0690172964	18	0	0	0	17530.0	37815044800
17	-193296.588589108	1725970.1921762226	2	0	0	0	5857.0	10355568000
18	457704.005572599	-212302.66277255584	9	0	0	0	15006.0	27461203200
19	404781.2600219293	134688.07754004071	12	0	0	0	18241.0	32939486750
20	136798.21758811185	-108862.29465153228	5	0	0	0	15217.0	31237802000
21	474207.1599719834	-137158.10816338393	4	0	0	0	5713.0	11406329300
22	874134.6961694389	-29116.4362134081	4	0	0	0	5000.0	12133476000
23	-176036.49905930224	-63230.64031278815	9	0	0	0	23469.0	43329676800
24	-888493.9318179803	1138157.6183633679	3	0	0	0	6030.0	11516870400
25	307583.25021290925	381092.9933592113	2	0	0	0	2778.0	6817079200

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	2960	2294	710	3242	0	0
Bt002	2330	1150	760	1370	0	0
Bt003	2330	1150	760	1340	0	0
Bt004	2960	2294	855	3880	0	0
Bt005	2960	2294	855	3880	0	0
Bt006	2285	1200	840	1509	0	0
Bt007	5770	2180	540	4811	0	0
Bt008	5770	2180	540	4811	0	0
Bt009	5380	2290	530	4799	0	0
Bt010	1980	1200	934	1049	0	0
Bt011	1980	1200	934	1036	0	0
Bt012	1980	1200	934	1061	0	0
Bt013	1980	1200	934	1061	0	0
Bt014	1980	1200	934	1020	0	0
Bt015	1980	1200	934	1020	0	0
Bt016	1980	1200	934	1051	0	0
Bt017	1980	1200	934	1008	0	0
Bt018	1980	1200	934	1008	0	0
Bt019	1980	1200	934	1048	0	0
Bt020	3270	1960	519	2136	0	0
Bt021	2150	1090	840	1008	0	0
Bt022	2150	1090	840	1008	0	0
Bt023	2150	1090	940	1172	0	0
Bt024	2450	830	1140	1237	0	0
Bt025	2031	1270	740	1008	0	0
Bt026	2031	1270	740	1008	0	0
Bt027	2031	1270	1180	1572	0	0
Bt028	2031	1270	1180	1572	0	0
Bt029	2031	1270	1180	1534	0	0
Bt030	2031	1270	1170	1518	0	0
Bt031	2031	1270	1170	1468	0	0
Bt032	2030	1490	885	974	0	0
Bt033	5940	2342	340	2959	0	0
Bt034	5940	2342	340	2959	0	0
Bt035	5000	1730	280	1496	0	0
Bt036	6240	2090	390	2783	0	0
Bt037	5745	2240	480	3450	0	0
Bt038	5745	2240	480	3450	0	0
Bt039	5745	2240	480	3163	0	0
Bt040	5745	2240	480	3163	0	0
Bt041	5745	2240	480	2969	0	0
Bt042	2895	2160	740	2199	0	0
Bt043	2895	2160	740	2098	0	0
Bt044	5745	2240	480	2684	0	0
Bt045	5745	2240	480	2704	0	0
Bt046	5745	2240	480	2654	0	0
Bt047	5745	2240	480	2654	0	0
Bt048	2140	2090	740	1513	0	0
Bt049	2140	2090	740	1513	0	0
Bt050	2430	1300	970	1469	0	0
Bt051	2031	1270	1050	1309	0	0
Bt052	2031	1270	1050	1383	0	0
Bt053	2031	1270	1050	1335	0	0
Bt054	2031	1270	1050	1335	0	0
Bt055	2030	1175	710	745	0	0
Bt056	2030	1175	710	744	0	0
Bt057	2030	1175	710	750	0	0
Bt058	2030	1175	710	750	0	0
Bt059	2030	1175	710	753	0	0
Bt060	2030	1175	710	745	0	0
Bt061	2030	1175	710	745	0	0
Bt062	2030	1175	710	742	0	0
Bt063	2030	1175	710	742	0	0
Bt064	2030	1175	710	748	0	0
Bt065	2030	1175	710	748	0	0
Bt066	2570	1420	934	1389	0	0
Bt067	2570	1420	934	1389	0	0
Bt068	2736	2310	440	1762	0	0
Bt069	3250	2240	600	2134	0	0
Bt070	3250	2240	600	2134	0	0
Bt071	2030	1490	1045	1584	0	0
