Name                                      	S30_288T
Number_of_Customers                       	35
Number_of_Items                           	211
Number_of_ItemTypes                       	211
Number_of_Vehicles                        	35
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	-1198288.6209521755	-700751.3810406885	0	0	0	0	0.0	0
1	739621.712115626	1008189.7154421267	4	0	0	0	12775.0	26779032000
2	1005279.0335243443	774825.2167558962	7	0	0	0	10104.0	21775929600
3	-1918137.1147189417	-336662.44900624553	7	0	0	0	13000.0	27793228700
4	-2144101.075161559	-414751.73601688363	3	0	0	0	3088.0	9056484300
5	251254.53958825255	-81782.70688759969	4	0	0	0	14090.0	24708096000
6	1931445.6594971793	-657302.2810395707	16	0	0	0	17908.0	31648241500
7	2223440.1367267077	-708250.0251407252	11	0	0	0	11853.0	24449378800
8	2037114.218446249	123506.91230891284	3	0	0	0	2688.0	7136451000
9	1763016.5114798394	-322872.51279946824	3	0	0	0	13427.0	18591222000
10	2223999.377791945	-312541.41892766586	3	0	0	0	9930.0	18280868000
11	-212880.2350366295	1373731.0322316133	1	0	0	0	1952.0	3553261250
12	251647.68347295834	698137.7100418311	12	0	0	0	11891.0	25859740940
13	127418.53730653647	-509820.5509227479	3	0	0	0	5342.0	13820895000
14	-55626.775672475196	-471461.25655879127	3	0	0	0	5541.0	11381475000
15	169471.14573717653	-474779.12324180454	13	0	0	0	11568.0	25581255000
16	-808079.7344410991	-205926.5609275014	1	0	0	0	556.0	922350000
17	-870679.0719458694	-401686.9356712206	4	0	0	0	4634.0	10846368000
18	-758540.7401396492	-340898.542949811	9	0	0	0	10616.0	27392909400
19	-794837.1411455611	-429191.20332035946	11	0	0	0	15719.0	32414373700
20	133243.92150069927	154067.86351005852	3	0	0	0	5774.0	10777945400
21	27077.529365674844	33808.605552148045	4	0	0	0	6296.0	10962430000
22	-461143.8900193318	390872.5080041681	2	0	0	0	3672.0	6200849500
23	166533.19045551057	453659.20849437	4	0	0	0	4185.0	8190106800
24	502874.2991780953	-178663.81426400496	10	0	0	0	11992.0	31301154000
25	938841.4199191399	144309.74080210977	10	0	0	0	10560.0	19523109200
26	1094084.4687343165	490744.6338344826	3	0	0	0	3631.0	6928152000
27	341063.78348284576	196146.60354634453	1	0	0	0	1688.0	4166700000
28	-342537.9791920894	1068814.1332771946	6	0	0	0	5418.0	10597271000
29	-369593.6727003257	-513081.51172609045	3	0	0	0	3942.0	8070704000
30	-256203.59648930654	-544417.4433586407	18	0	0	0	13471.0	33397964000
31	-1200691.926041643	-1162581.1727640484	16	0	0	0	19868.0	41571447100
32	-1574579.651551671	747019.7254544717	4	0	0	0	7364.0	13685911000
33	-1349402.3127549754	620067.7246367699	2	0	0	0	2569.0	5035755000
34	-1279480.8719408477	554619.9088260896	3	0	0	0	4440.0	9497236000
35	-332622.75841894373	-65098.616154719784	4	0	0	0	6436.0	15002935200

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	2650	1490	934	1720	0	0
Bt002	2730	1700	320	731	0	0
Bt003	2730	1700	775	1782	0	0
Bt004	6580	2280	425	3635	0	0
Bt005	6580	2280	425	3635	0	0
Bt006	3210	2350	533	2104	0	0
Bt007	3210	2350	533	2104	0	0
Bt008	3170	1870	533	2112	0	0
Bt009	2230	1155	810	938	0	0
Bt010	2230	1155	730	877	0	0
Bt011	2230	1155	730	877	0	0
Bt012	2230	1155	730	861	0	0
Bt013	2230	1155	730	861	0	0
Bt014	2230	1155	730	838	0	0
Bt015	2230	1155	730	838	0	0
Bt016	2230	1155	730	843	0	0
Bt017	2230	1155	730	834	0	0
Bt018	2230	1155	730	827	0	0
Bt019	5230	2290	265	1696	0	0
Bt020	5230	2290	265	1696	0	0
Bt021	5230	2290	519	3346	0	0
Bt022	2310	1440	934	1534	0	0
Bt023	2310	1440	934	1534	0	0
Bt024	3070	1790	200	356	0	0
Bt025	3070	1790	200	356	0	0
Bt026	3070	1790	620	2245	0	0
Bt027	3070	1790	620	2245	0	0
Bt028	2890	2450	440	1897	0	0
Bt029	2890	2450	440	1897	0	0
Bt030	2165	1204	710	867	0	0
Bt031	2165	1204	710	871	0	0
Bt032	2165	1204	710	871	0	0
Bt033	2165	1204	710	863	0	0
Bt034	2165	1204	710	863	0	0
Bt035	2165	1204	710	896	0	0
Bt036	2165	1204	710	896	0	0
Bt037	2165	1204	710	874	0	0
Bt038	2165	1204	710	874	0	0
Bt039	2165	1204	710	937	0	0
Bt040	2165	1204	710	924	0	0
Bt041	2165	1204	710	899	0	0
Bt042	4725	1940	150	677	0	0
Bt043	2165	1204	710	669	0	0
Bt044	2165	1204	710	669	0	0
Bt045	2165	1204	710	674	0	0
Bt046	2165	1204	710	674	0	0
Bt047	2165	1204	710	679	0	0
Bt048	2165	1204	710	679	0	0
Bt049	2165	1204	710	664	0	0
Bt050	2165	1204	710	664	0	0
Bt051	2165	1204	710	649	0	0
Bt052	2165	1204	710	688	0	0
Bt053	2165	1204	710	673	0	0
Bt054	5220	1980	130	906	0	0
Bt055	2120	1080	1230	816	0	0
Bt056	2120	1080	1230	834	0	0
Bt057	2895	2160	600	1728	0	0
Bt058	2895	2160	730	2168	0	0
Bt059	2225	1034	730	1059	0	0
Bt060	2225	1034	730	1059	0	0
Bt061	2225	1034	730	1070	0	0
Bt062	2225	1034	730	1028	0	0
Bt063	2225	1034	730	1038	0	0
Bt064	2225	1034	730	1018	0	0
Bt065	2225	1034	730	1028	0	0
Bt066	2225	1034	730	1028	0	0
Bt067	2310	1440	1070	1588	0	0
Bt068	2310	1440	1070	1588	0	0
Bt069	2310	1440	1070	1598	0	0
Bt070	2310	1440	1070	1598	0	0
Bt071	2310	1440	934	1390	0	0
Bt072	2100	1410	1140	1233	0	0
Bt073	2100	1410	1140	1233	0	0
Bt074	2100	1410	1140	1283	0	0
Bt075	2100	1410	1140	1274	0	0
Bt076	2100	1410	1140	1274	0	0
Bt077	2100	1410	1140	1261	0	0
Bt078	2100	1410	1140	1258	0	0
Bt079	2100	1410	1140	1255	0	0
Bt080	2100	1410	1140	1275	0	0
Bt081	5980	2410	430	3528	0	0
Bt082	5980	2410	430	3528	0	0
Bt083	5600	2190	480	2874	0	0
Bt084	5980	2410	430	4475	0	0
Bt085	5980	2410	430	4475	0	0
Bt086	5980	2410	430	4477	0	0
Bt087	3050	1890	220	482	0	0
Bt088	3050	1890	509	1089	0	0
Bt089	3050	1890	509	1117	0	0
Bt090	2545	1270	934	1027	0	0
Bt091	2545	1270	934	1027	0	0
Bt092	2545	1270	934	1034	0	0
Bt093	5745	2240	480	3348	0	0
Bt094	5745	2240	480	3411	0	0
Bt095	5745	2240	480	3678	0	0
Bt096	5745	2240	480	3653	0	0
Bt097	4750	1630	490	1847	0	0
Bt098	4750	1630	490	1847	0	0
Bt099	4750	1630	490	1847	0	0
Bt100	2031	1270	1180	1196	0	0
Bt101	2031	1270	1180	1201	0	0
Bt102	2031	1270	1180	1201	0	0
Bt103	2031	1270	1180	1187	0	0
Bt104	2031	1270	1180	1185	0	0
Bt105	2031	1270	1180	1169	0	0
Bt106	2031	1270	1180	1169	0	0
Bt107	2031	1270	1180	1180	0	0
Bt108	2031	1270	1180	1128	0	0
