Name                                      	S40_336T
Number_of_Customers                       	36
Number_of_Items                           	237
Number_of_ItemTypes                       	237
Number_of_Vehicles                        	36
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	1144375.6899101988	753327.0396063132	0	0	0	0	0.0	0
1	-1142094.470377106	-1090556.3817275509	10	0	0	0	14400.0	27854383200
2	-954790.0893083981	-835221.000701557	4	0	0	0	6409.0	13284369000
3	-1110263.1562690088	-1057165.8841849992	12	0	0	0	13164.0	25454374600
4	1354286.883566721	236444.5630797887	3	0	0	0	5650.0	9415890000
5	2322208.886216241	225933.3903120676	1	0	0	0	1569.0	2988736250
6	1942871.9539359878	207880.22585054077	3	0	0	0	6976.0	12154281000
7	1783749.2932720114	544173.7815016586	3	0	0	0	6351.0	14110577550
8	432602.0883671937	-1179206.1769401934	2	0	0	0	7036.0	18026624000
9	686056.0625275648	-1294645.207864805	16	0	0	0	17958.0	40213800000
10	-2198298.1510109017	1096179.5059625697	1	0	0	0	2566.0	6857620000
11	-1578495.632031617	511092.4694549068	5	0	0	0	8720.0	22099176000
12	-1469539.6938689295	957354.6516695515	8	0	0	0	10419.0	17910310400
13	-1794743.1189628989	481072.7630788639	4	0	0	0	6002.0	12538382000
14	658598.4752516564	-347147.0593058458	10	0	0	0	11968.0	28833054000
15	659214.731427662	-391729.19459365704	5	0	0	0	15300.0	26550310000
16	673302.4331093701	-16793.089665762527	3	0	0	0	6363.0	11608556250
17	646372.9354137375	-30454.239818125865	5	0	0	0	10823.0	21797505200
18	758699.8372458617	26772.644650092527	13	0	0	0	10311.0	30682494000
19	64315.388694880785	-1311034.4219457612	7	0	0	0	7385.0	15327160800
20	81551.44132990061	-1613322.2006493513	3	0	0	0	7614.0	13989915000
21	238176.69198643457	1475377.6422301356	3	0	0	0	4007.0	6466460000
22	-70333.6449646242	1108608.0871600646	11	0	0	0	7190.0	20490413300
23	-279511.7423333646	556719.5267790768	12	0	0	0	14739.0	37115172800
24	851141.7767546065	397667.6131861278	7	0	0	0	8595.0	19347485500
25	702833.4902812989	1973312.974390773	3	0	0	0	4067.0	11701498500
26	-298935.6697232388	-375281.0356568845	1	0	0	0	2183.0	4775512500
27	-94990.01862970108	-297358.55882893206	6	0	0	0	8745.0	18517683000
28	313864.87922099204	-265630.91059812956	3	0	0	0	8466.0	18961759800
29	-37815.465912045765	157336.7768593515	2	0	0	0	5364.0	9610819440
30	-666540.0755501151	439503.3841715537	14	0	0	0	14996.0	25304161500
31	-1156471.2254815565	-37387.29624608252	11	0	0	0	14880.0	26303244000
32	-1214437.0331305524	359866.67078921787	14	0	0	0	22704.0	47737899840
33	-618675.2270333979	-125784.84679931804	14	0	0	0	10646.0	27031064200
34	-1116030.426617919	-119126.23793908564	5	0	0	0	14069.0	35903952000
35	151868.57216940282	-985811.9826371818	4	0	0	0	9517.0	15192763000
36	335873.3305236518	-134967.98462943145	9	0	0	0	8877.0	19044655000

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	2165	1204	710	847	0	0
Bt002	2165	1204	710	847	0	0
Bt003	2165	1204	710	863	0	0
Bt004	2165	1204	710	845	0	0
Bt005	2165	1204	710	845	0	0
Bt006	2165	1204	710	847	0	0
Bt007	2165	1204	710	861	0	0
Bt008	2165	1204	840	1002	0	0
Bt009	2736	1960	710	1836	0	0
Bt010	2736	1960	710	1871	0	0
Bt011	2736	1960	710	1871	0	0
Bt012	2736	1960	710	1869	0	0
Bt013	2736	1960	710	1864	0	0
Bt014	2868	2180	696	2202	0	0
Bt015	2165	1204	710	661	0	0
Bt016	2165	1204	710	665	0	0
Bt017	2165	1204	710	653	0	0
Bt018	2165	1204	710	669	0	0
Bt019	2165	1204	710	669	0	0
Bt020	2165	1204	710	645	0	0
Bt021	2165	1204	710	645	0	0
Bt022	2165	1204	710	648	0	0
Bt023	1980	1200	985	1178	0	0
Bt024	1980	1200	985	1178	0	0
Bt025	1980	1200	985	1154	0	0
Bt026	1980	1200	985	1154	0	0
Bt027	1980	1200	985	1149	0	0
Bt028	1980	1200	985	1142	0	0
Bt029	1980	1200	985	1142	0	0
Bt030	1980	1200	985	1157	0	0
Bt031	1980	1200	985	1157	0	0
Bt032	2165	1204	530	458	0	0
Bt033	2165	1204	650	625	0	0
Bt034	2165	1204	650	625	0	0
Bt035	2165	1204	710	675	0	0
Bt036	2165	1204	710	675	0	0
Bt037	2165	1204	710	675	0	0
Bt038	2165	1204	710	625	0	0
Bt039	2165	1204	840	731	0	0
Bt040	2165	1204	1160	937	0	0
Bt041	2165	1204	1160	937	0	0
Bt042	2165	1204	1160	927	0	0
Bt043	2165	1204	1160	927	0	0
Bt044	3200	1520	300	568	0	0
Bt045	2190	965	900	1046	0	0
Bt046	3248	1723	610	1742	0	0
Bt047	2040	1490	1050	1345	0	0
Bt048	2040	1490	1050	1345	0	0
Bt049	2040	1490	1050	1335	0	0
Bt050	2040	1490	1050	1335	0	0
Bt051	2040	1490	1050	1346	0	0
Bt052	2040	1490	1050	1357	0	0
Bt053	2040	1490	1050	1338	0	0
Bt054	2040	1490	1050	1338	0	0
Bt055	2650	1490	934	2115	0	0
Bt056	2650	1490	934	2115	0	0
Bt057	4730	1950	480	2086	0	0
Bt058	3260	2130	710	2321	0	0
Bt059	3260	2130	710	2321	0	0
Bt060	2736	1960	696	1855	0	0
Bt061	3260	2130	690	2257	0	0
Bt062	2700	1300	940	1781	0	0
Bt063	3050	1890	510	1616	0	0
Bt064	2655	2290	410	1577	0	0
Bt065	2655	2290	410	1563	0	0
Bt066	2655	2290	410	1563	0	0
Bt067	2655	2290	410	1563	0	0
Bt068	2655	2290	410	1563	0	0
Bt069	2655	2290	410	1563	0	0
Bt070	2655	2290	425	1595	0	0
Bt071	2655	2290	425	1595	0	0
Bt072	5990	2000	320	2423	0	0
Bt073	6540	1765	330	2425	0	0
Bt074	5990	2000	380	2873	0	0
Bt075	2060	1015	985	730	0	0
Bt076	2060	1015	985	730	0	0
Bt077	2060	1015	985	726	0	0
Bt078	2060	1015	985	719	0	0
Bt079	2060	1015	985	734	0	0
Bt080	2031	1270	1050	1390	0	0
Bt081	2031	1270	1050	1390	0	0
Bt082	2031	1270	1180	1585	0	0
Bt083	2031	1270	1180	1606	0	0
Bt084	2031	1270	1180	1606	0	0
Bt085	2031	1270	1180	1549	0	0
Bt086	2031	1270	1180	1549	0	0
Bt087	2031	1270	1180	1581	0	0
Bt088	2031	1270	1180	1587	0	0
Bt089	2231	1460	1050	1503	0	0
Bt090	1770	1300	1180	1220	0	0
Bt091	1770	1300	1180	1220	0	0
Bt092	2230	1155	730	1097	0	0
Bt093	2230	1050	730	1100	0	0
Bt094	2230	1155	730	1102	0	0
Bt095	2230	1155	730	1102	0	0
Bt096	2230	1155	730	1107	0	0
Bt097	2230	1155	730	1107	0	0
Bt098	2230	1050	730	1122	0	0
Bt099	2230	1155	730	1109	0	0
Bt100	2230	1155	730	1109	0	0
Bt101	2230	1050	730	1100	0	0
Bt102	2230	1050	730	1100	0	0
Bt103	2230	1050	730	1054	0	0
Bt104	2230	1050	730	1054	0	0
Bt105	2165	1204	620	627	0	0
Bt106	2165	1204	710	730	0	0
Bt107	2165	1204	710	730	0	0
Bt108	2165	1204	710	721	0	0
Bt109	2165	1204	710	713	0	0
Bt110	2165	1204	710	751	0	0
Bt111	2165	1204	710	751	0	0
Bt112	2165	1204	710	722	0	0
Bt113	2165	1204	710	722	0	0
Bt114	2165	1204	710	723	0	0
Bt115	2165	1204	840	868	0	0
Bt116	2165	1204	840	868	0	0
Bt117	2165	1204	840	860	0	0
Bt118	2165	1204	840	860	0	0
Bt119	2970	2096	710	1784	0	0
Bt120	2970	2096	710	1729	0	0
Bt121	2970	2096	710	1729	0	0
Bt122	2970	2096	710	1739	0	0
Bt123	2970	2096	710	1739	0	0
Bt124	3075	1720	330	1111	0	0
Bt125	3075	1720	330	1120	0	0
Bt126	2520	2250	1045	3419	0	0
Bt127	2165	1204	840	1073	0	0
Bt128	2165	1204	840	1030	0	0
Bt129	2165	1204	840	1058	0	0
Bt130	2165	1204	840	1058	0	0
Bt131	2165	1204	840	1045	0	0
Bt132	2165	1204	840	1045	0	0
Bt133	2165	1204	840	1076	0	0
Bt134	5745	2240	480	2654	0	0
Bt135	5745	2240	480	2367	0	0
Bt136	5745	2240	610	2984	0	0
Bt137	5745	2240	610	2984	0	0
Bt138	5745	2240	610	3080	0	0
Bt139	2165	965	800	583	0	0
Bt140	2165	965	800	602	0	0
Bt141	2165	965	800	602	0	0
Bt142	2165	965	800	602	0	0
Bt143	2165	965	800	602	0	0
Bt144	2165	965	800	602	0	0
Bt145	2165	1204	840	764	0	0
Bt146	2165	1204	840	764	0	0
Bt147	2060	1015	985	699	0	0
Bt148	2060	1015	985	705	0	0
Bt149	2165	965	940	665	0	0
Bt150	2685	1460	1045	1419	0	0
Bt151	2685	1460	970	1324	0	0
Bt152	2685	1460	970	1324	0	0
Bt153	2290	1325	985	1569	0	0
Bt154	5675	1980	425	2183	0	0
Bt155	6160	2360	620	3518	0	0
Bt156	6160	2360	620	3518	0	0
Bt157	2240	1380	700	1295	0	0
Bt158	2105	1460	700	1356	0	0
Bt159	2105	1460	700	1356	0	0
Bt160	4610	1975	425	2130	0	0
Bt161	4610	1975	425	2130	0	0
Bt162	4610	1975	425	2103	0	0
Bt163	5110	2200	610	2566	0	0
Bt164	2340	1080	1050	1195	0	0
Bt165	2340	1080	1050	1195	0	0
Bt166	1945	1000	1009	925	0	0
Bt167	1945	1000	1009	925	0	0
Bt168	1945	1000	1009	938	0	0
Bt169	1945	1000	1009	909	0	0
Bt170	1945	1000	1009	912	0	0
Bt171	1945	1000	1009	932	0	0
Bt172	1945	1000	1009	946	0	0
Bt173	5490	2100	540	2752	0	0
Bt174	5490	2100	540	2752	0	0
Bt175	6210	2020	519	2962	0	0
Bt176	2540	2185	730	2335	0	0
Bt177	2540	2185	730	2335	0	0
Bt178	2540	2185	730	2306	0	0
Bt179	4050	1480	430	1544	0	0
Bt180	4050	1480	430	1553	0	0
Bt181	4050	1480	430	1553	0	0
Bt182	4050	1480	430	1557	0	0
Bt183	2031	1270	1180	1392	0	0
Bt184	2031	1270	1180	1374	0	0
Bt185	2031	1270	1180	1456	0	0
Bt186	2031	1270	1180	1386	0	0
Bt187	2031	1270	1180	1386	0	0
Bt188	2031	1270	1180	1415	0	0
Bt189	2031	1270	1180	1391	0	0
Bt190	2031	1270	1180	1391	0	0
Bt191	5130	2265	480	2375	0	0
Bt192	5130	2265	480	2375	0	0
Bt193	5130	2265	480	2367	0	0
Bt194	5130	2265	480	2367	0	0
Bt195	1980	1200	1160	1104	0	0
Bt196	1980	1200	1160	1067	0	0
Bt197	1980	1200	1160	1087	0	0
Bt198	1980	1200	1160	1068	0	0
Bt199	1980	1200	1140	1073	0	0
Bt200	1980	1200	1140	1074	0	0
Bt201	1980	1200	1140	1074	0	0
Bt202	2650	1490	1070	1494	0	0
Bt203	6210	2020	519	2976	0	0
Bt204	5035	2350	519	2807	0	0
Bt205	5550	2200	495	3278	0	0
Bt206	5550	2200	495	3290	0	0
Bt207	5980	2410	430	3622	0	0
Bt208	2470	1310	510	618	0	0
Bt209	2470	1310	510	611	0	0
Bt210	5745	2240	480	3590	0	0
Bt211	5745	2240	480	3590	0	0
Bt212	5745	2240	530	3890	0	0
Bt213	2260	1940	519	1395	0	0
Bt214	2260	1940	519	1395	0	0
Bt215	2415	1230	580	1079	0	0
Bt216	2415	1230	580	1030	0	0
Bt217	2415	1230	580	1030	0	0
Bt218	2405	1349	580	1210	0	0
Bt219	2405	1349	580	1194	0	0
Bt220	3248	1723	610	2069	0	0
Bt221	2031	1270	1180	1388	0	0
Bt222	2031	1270	1180	1388	0	0
Bt223	2031	1270	1180	1400	0	0
Bt224	2031	1270	1180	1400	0	0
Bt225	2031	1270	1180	1388	0	0
Bt226	2030	1490	1140	1589	0	0
Bt227	2030	1490	1140	1589	0	0
Bt228	2030	1490	1140	1615	0	0
Bt229	2060	1015	985	766	0	0
Bt230	2060	1015	985	766	0	0
Bt231	2060	1015	985	766	0	0
Bt232	3050	1890	520	1796	0	0
Bt233	3710	2350	519	2478	0	0
Bt234	3710	2350	519	2478	0	0
Bt235	2995	1080	350	557	0	0
Bt236	2650	1490	934	2059	0	0
Bt237	2600	1770	410	733	0	0

DEMANDS PER CUSTOMER
i	Type Quantity
1	Bt080 1 Bt081 1 Bt082 1 Bt083 1 Bt084 1 Bt085 1 Bt086 1 Bt087 1 Bt088 1 Bt235 1 
2	Bt063 1 Bt226 1 Bt227 1 Bt228 1 
3	Bt001 1 Bt002 1 Bt003 1 Bt004 1 Bt005 1 Bt006 1 Bt007 1 Bt008 1 Bt179 1 Bt180 1 Bt181 1 Bt182 1 
4	Bt124 1 Bt125 1 Bt126 1 
5	Bt153 1 
6	Bt176 1 Bt177 1 Bt178 1 
7	Bt044 1 Bt203 1 Bt204 1 
8	Bt155 1 Bt156 1 
9	Bt023 1 Bt024 1 Bt025 1 Bt026 1 Bt027 1 Bt028 1 Bt029 1 Bt030 1 Bt031 1 Bt195 1 Bt196 1 Bt197 1 Bt198 1 Bt199 1 Bt200 1 Bt201 1 
10	Bt163 1 
11	Bt119 1 Bt120 1 Bt121 1 Bt122 1 Bt123 1 
12	Bt057 1 Bt213 1 Bt214 1 Bt215 1 Bt216 1 Bt217 1 Bt218 1 Bt219 1 
13	Bt089 1 Bt090 1 Bt091 1 Bt236 1 
14	Bt047 1 Bt048 1 Bt049 1 Bt050 1 Bt051 1 Bt052 1 Bt053 1 Bt054 1 Bt208 1 Bt209 1 
15	Bt055 1 Bt056 1 Bt210 1 Bt211 1 Bt212 1 
16	Bt160 1 Bt161 1 Bt162 1 
17	Bt058 1 Bt059 1 Bt060 1 Bt061 1 Bt220 1 
18	Bt032 1 Bt033 1 Bt034 1 Bt035 1 Bt036 1 Bt037 1 Bt038 1 Bt039 1 Bt040 1 Bt041 1 Bt042 1 Bt043 1 Bt202 1 
19	Bt127 1 Bt128 1 Bt129 1 Bt130 1 Bt131 1 Bt132 1 Bt133 1 
20	Bt045 1 Bt205 1 Bt206 1 
21	Bt157 1 Bt158 1 Bt159 1 
22	Bt139 1 Bt140 1 Bt141 1 Bt142 1 Bt143 1 Bt144 1 Bt145 1 Bt146 1 Bt147 1 Bt148 1 Bt149 1 
23	Bt015 1 Bt016 1 Bt017 1 Bt018 1 Bt019 1 Bt020 1 Bt021 1 Bt022 1 Bt191 1 Bt192 1 Bt193 1 Bt194 1 
24	Bt075 1 Bt076 1 Bt077 1 Bt078 1 Bt079 1 Bt233 1 Bt234 1 
25	Bt150 1 Bt151 1 Bt152 1 
26	Bt154 1 
27	Bt062 1 Bt221 1 Bt222 1 Bt223 1 Bt224 1 Bt225 1 
28	Bt173 1 Bt174 1 Bt175 1 
29	Bt046 1 Bt207 1 
30	Bt092 1 Bt093 1 Bt094 1 Bt095 1 Bt096 1 Bt097 1 Bt098 1 Bt099 1 Bt100 1 Bt101 1 Bt102 1 Bt103 1 Bt104 1 Bt237 1 
31	Bt064 1 Bt065 1 Bt066 1 Bt067 1 Bt068 1 Bt069 1 Bt070 1 Bt071 1 Bt229 1 Bt230 1 Bt231 1 
32	Bt009 1 Bt010 1 Bt011 1 Bt012 1 Bt013 1 Bt014 1 Bt183 1 Bt184 1 Bt185 1 Bt186 1 Bt187 1 Bt188 1 Bt189 1 Bt190 1 
33	Bt105 1 Bt106 1 Bt107 1 Bt108 1 Bt109 1 Bt110 1 Bt111 1 Bt112 1 Bt113 1 Bt114 1 Bt115 1 Bt116 1 Bt117 1 Bt118 1 
34	Bt134 1 Bt135 1 Bt136 1 Bt137 1 Bt138 1 
35	Bt072 1 Bt073 1 Bt074 1 Bt232 1 
36	Bt164 1 Bt165 1 Bt166 1 Bt167 1 Bt168 1 Bt169 1 Bt170 1 Bt171 1 Bt172 1 
