Name                                      	S50_360T
Number_of_Customers                       	37
Number_of_Items                           	279
Number_of_ItemTypes                       	279
Number_of_Vehicles                        	37
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	-784016.1093780275	-1062305.3289873358	0	0	0	0	0.0	0
1	1137385.9013141794	462081.0282315736	4	0	0	0	10227.0	16544950100
2	1100933.6209756366	923872.4297628163	2	0	0	0	3672.0	6200849500
3	1007176.5526181402	523238.7141482134	7	0	0	0	6879.0	13479286900
4	1069328.2521034644	842602.2971466845	4	0	0	0	11540.0	24708096000
5	1171324.3281412777	707131.1366887396	15	0	0	0	16123.0	33068446000
6	-2096193.735094814	-872976.65975041	5	0	0	0	13468.0	29622415480
7	-2173376.0665880204	-845774.4917034793	4	0	0	0	5512.0	12322580090
8	-759282.9718836409	1150467.9557854831	11	0	0	0	3010.0	7027546000
9	-543469.7098090905	1056771.1088153366	4	0	0	0	6234.0	15125310000
10	-732460.3948002998	1042224.887642745	5	0	0	0	6405.0	13742138200
11	1528239.0067255406	-768764.7716804342	1	0	0	0	811.0	1675452000
12	2478581.3510468267	-327434.55196711747	10	0	0	0	15385.0	32329666600
13	-377757.2252431071	-117050.10337229335	14	0	0	0	19945.0	47629871000
14	-573677.8103391039	358927.1674804905	4	0	0	0	4318.0	8567007000
15	-671712.1297822455	21922.440817334173	4	0	0	0	13839.0	24708096000
16	-358699.6231209139	1342014.3006834907	10	0	0	0	8740.0	18808408800
17	-847088.9773235574	529370.1654455197	2	0	0	0	1686.0	4549834800
18	541075.9852420033	-968424.6140477865	10	0	0	0	10873.0	27036240000
19	458316.46471577283	-1202665.44452313	8	0	0	0	5211.0	13468735500
20	586244.3186984494	-639258.6563968763	4	0	0	0	6801.0	15146075000
21	370975.64295378147	-552047.9413584459	26	0	0	0	23571.0	49765666750
22	-560302.859215952	-660426.7984538438	4	0	0	0	6366.0	12895835040
23	-345945.15056962956	-601512.782031576	3	0	0	0	7331.0	14410837600
24	249270.57890742045	423764.0671936889	5	0	0	0	17156.0	30885120000
25	49936.07720920247	533796.0960273517	2	0	0	0	3876.0	5893372800
26	40830.971611913716	84084.95398233288	26	0	0	0	18182.0	35438491100
27	262221.93617217726	-297291.2884124176	2	0	0	0	2970.0	5947800000
28	1020844.9355649657	-283769.11918309605	7	0	0	0	12404.0	25074763000
29	808213.3797690528	282057.6167956936	19	0	0	0	22561.0	39303328000
30	942681.4036360051	-44925.89158892461	6	0	0	0	7678.0	17920029300
31	-1239039.4137375283	991565.5489808319	15	0	0	0	13031.0	27983601000
32	-163883.35002658903	-893045.634768784	8	0	0	0	12620.0	32236610320
33	-123639.02422032492	-1130106.0927488368	8	0	0	0	17115.0	26738322000
34	-1056515.842023769	201792.68882715824	3	0	0	0	4513.0	8357442400
35	-974361.5370289896	163208.78376047176	13	0	0	0	12763.0	26096217500
36	-888862.2392012844	-51865.498971851295	3	0	0	0	5780.0	10175697500
37	446703.4619810779	-321247.71826931625	1	0	0	0	1319.0	3413745440

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	5745	2240	480	3023	0	0
Bt002	5745	2240	610	3716	0	0
Bt003	5745	2240	610	3660	0	0
Bt004	3248	1723	530	1167	0	0
Bt005	5765	1960	190	1479	0	0
Bt006	4810	2180	520	3429	0	0
Bt007	4620	2210	540	3728	0	0
Bt008	4720	2420	530	4131	0	0
Bt009	2050	730	155	125	0	0
Bt010	1670	640	162	77	0	0
Bt011	1670	640	750	377	0	0
Bt012	1670	640	750	377	0	0
Bt013	1670	640	750	386	0	0
Bt014	1670	640	750	377	0	0
Bt015	1670	640	750	377	0	0
Bt016	1670	640	750	386	0	0
Bt017	1670	640	750	386	0	0
Bt018	1670	640	750	386	0	0
Bt019	1670	640	750	386	0	0
Bt020	1670	640	750	386	0	0
Bt021	1670	640	750	386	0	0
Bt022	1670	640	750	386	0	0
Bt023	2050	730	750	558	0	0
Bt024	2050	730	750	558	0	0
Bt025	2050	730	750	558	0	0
Bt026	2050	730	750	558	0	0
Bt027	2050	730	750	558	0	0
Bt028	2050	730	750	558	0	0
Bt029	2050	730	750	558	0	0
Bt030	2050	730	750	558	0	0
Bt031	2165	1204	710	846	0	0
Bt032	2165	1204	710	864	0	0
Bt033	2165	1204	710	879	0	0
Bt034	2165	1204	710	879	0	0
Bt035	2165	1204	710	885	0	0
Bt036	2165	1204	710	885	0	0
Bt037	2165	1204	710	854	0	0
Bt038	2165	1204	710	864	0	0
Bt039	3248	1723	610	1742	0	0
Bt040	4650	2360	300	2148	0	0
Bt041	4650	2360	300	2148	0	0
Bt042	5600	2190	610	3815	0	0
Bt043	3260	1540	460	1221	0	0
Bt044	3260	1540	460	1205	0	0
Bt045	3260	1540	460	1205	0	0
Bt046	4060	1943	710	2499	0	0
Bt047	4060	1943	696	2450	0	0
Bt048	2225	1620	820	1051	0	0
Bt049	2225	1620	820	1051	0	0
Bt050	740	680	360	68	0	0
Bt051	740	680	360	68	0	0
Bt052	740	680	360	69	0	0
Bt053	740	680	360	70	0	0
Bt054	740	680	360	70	0	0
Bt055	740	680	360	71	0	0
Bt056	740	680	360	71	0	0
Bt057	740	680	360	71	0	0
Bt058	2330	1190	750	757	0	0
Bt059	2330	1190	750	776	0	0
Bt060	2205	1055	640	669	0	0
Bt061	2205	1055	730	768	0	0
Bt062	2205	1055	730	768	0	0
Bt063	2205	1055	730	782	0	0
Bt064	2205	1055	730	782	0	0
Bt065	2205	1055	730	764	0	0
Bt066	2205	1055	730	743	0	0
Bt067	2205	1055	730	775	0	0
Bt068	2205	1055	730	753	0	0
Bt069	2205	1055	730	764	0	0
Bt070	2205	1055	730	747	0	0
Bt071	2205	1055	730	747	0	0
Bt072	2031	1270	710	850	0	0
Bt073	2031	1270	710	850	0	0
Bt074	2031	1270	1140	1386	0	0
Bt075	2031	1270	1180	1338	0	0
Bt076	2031	1270	1180	1338	0	0
Bt077	2031	1270	1180	1350	0	0
Bt078	2650	1490	934	2059	0	0
Bt079	2240	1160	740	978	0	0
Bt080	2240	1160	740	978	0	0
Bt081	2240	1160	740	1021	0	0
Bt082	2240	1160	740	1000	0	0
Bt083	2240	1160	740	1000	0	0
Bt084	2240	1160	740	1017	0	0
Bt085	2240	1160	740	1021	0	0
Bt086	2240	1160	740	1001	0	0
Bt087	2240	1160	740	1006	0	0
Bt088	2240	1160	740	996	0	0
Bt089	2240	1160	740	1005	0	0
Bt090	2240	1160	740	998	0	0
Bt091	2240	1160	740	998	0	0
Bt092	2240	1160	740	1004	0	0
Bt093	2240	1160	740	988	0	0
Bt094	3156	990	580	715	0	0
Bt095	3100	1040	710	898	0	0
Bt096	5480	1750	330	1962	0	0
Bt097	3800	2150	520	2415	0	0
Bt098	1985	900	740	663	0	0
Bt099	1970	930	940	900	0	0
Bt100	1970	930	940	900	0	0
Bt101	1970	930	940	1023	0	0
Bt102	1970	930	940	1023	0	0
Bt103	2170	1455	934	1485	0	0
Bt104	2060	1015	985	1156	0	0
Bt105	2060	1015	985	1068	0	0
Bt106	2060	1015	985	1032	0	0
Bt107	2060	1015	985	1032	0	0
Bt108	2060	1015	985	1058	0	0
Bt109	2060	1015	985	1050	0	0
Bt110	2060	1015	985	1017	0	0
Bt111	2060	1015	985	1017	0	0
Bt112	2060	1015	985	1054	0	0
Bt113	2060	1015	985	1048	0	0
Bt114	2020	1097	1180	1459	0	0
Bt115	2020	1097	1180	1459	0	0
