Name                                      	S60_360T
Number_of_Customers                       	37
Number_of_Items                           	262
Number_of_ItemTypes                       	262
Number_of_Vehicles                        	37
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	1139440.9935694186	123008.06186450084	0	0	0	0	0.0	0
1	-1378056.4198183022	194478.69115894104	8	0	0	0	14619.0	27431889400
2	-1700690.2223391559	-31231.5805709837	3	0	0	0	7901.0	16173289200
3	-1307734.4369107797	31067.351081899316	2	0	0	0	4299.0	9835825000
4	1060854.326289828	-396251.71105279546	1	0	0	0	699.0	1890968000
5	812572.9360526621	-562127.0507357126	3	0	0	0	4370.0	10524330000
6	1139924.4206805266	-521561.6524709465	4	0	0	0	10948.0	23121606000
7	1892264.1627333672	-683551.1651613992	10	0	0	0	18321.0	47481354400
8	1194145.874879457	-822792.0208598878	4	0	0	0	3792.0	8238146000
9	-323671.07581455796	-978151.1089700776	17	0	0	0	21888.0	45906529000
10	-440324.1651221076	-801316.152512323	6	0	0	0	8584.0	16978180000
11	-394777.6890633724	-775565.3085848403	13	0	0	0	12364.0	26250637120
12	-1664409.2447308956	1810992.3345215195	8	0	0	0	10437.0	21744736800
13	-1475392.9265419755	2137039.5596982385	7	0	0	0	10149.0	22057138000
14	215260.40994442356	476611.59340747347	2	0	0	0	4590.0	8275794000
15	690607.7777330031	351961.7183542222	6	0	0	0	5904.0	15679158000
16	-759107.5063571942	-1229766.0792143166	4	0	0	0	7260.0	21385944000
17	-802523.4004330353	-1413754.3625724043	4	0	0	0	3642.0	8065200000
18	-721522.686849383	-1240790.987961062	12	0	0	0	12706.0	22635949500
19	564346.559912319	1232923.1705859168	5	0	0	0	12759.0	26124321000
20	184879.12186177087	587860.4779735666	16	0	0	0	17146.0	30083592000
21	1430937.2184210445	1453473.4583955812	11	0	0	0	13051.0	32706411600
22	-396617.73136266775	-455076.0591644735	11	0	0	0	12184.0	32893809000
23	-299648.5587733358	-118905.94604458768	2	0	0	0	3352.0	7580601000
24	-150302.97222111747	-129548.07226593966	2	0	0	0	2904.0	7203483000
25	-453043.137559342	159347.59381671788	7	0	0	0	7040.0	17042214000
26	-425063.6716479413	-157263.27983261668	4	0	0	0	3463.0	8876736000
27	-583093.5262645356	-590750.5251130798	4	0	0	0	6474.0	10079244000
28	-551140.8671387087	68099.01439636531	10	0	0	0	16205.0	34122224800
29	-348715.8995450933	1054429.2315267394	20	0	0	0	16269.0	33583116200
30	-629440.5426737069	-717621.3021543603	8	0	0	0	7685.0	15144388700
31	302479.65626889496	-85036.11298272891	7	0	0	0	9662.0	22075989000
32	1481536.964820167	449164.24177260546	4	0	0	0	11556.0	24218425600
33	1262967.7578725854	406416.8332647895	14	0	0	0	21291.0	42127752000
34	1585163.5067237816	413918.6038773241	4	0	0	0	8037.0	15194378600
35	649859.886693167	514186.9468014851	2	0	0	0	2521.0	7118848550
36	-865769.4217292808	82020.14874961809	7	0	0	0	10829.0	24673821600
37	63804.52844007183	164061.44697703436	10	0	0	0	15109.0	35670228000

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	6160	2370	645	3377	0	0
Bt002	6160	2370	620	3118	0	0
Bt003	2010	820	690	442	0	0
Bt004	2060	1015	985	777	0	0
Bt005	2060	1015	985	817	0	0
Bt006	2060	1015	985	806	0	0
Bt007	2060	1015	985	785	0	0
Bt008	2060	1015	985	787	0	0
Bt009	2060	1015	985	743	0	0
Bt010	3078	2350	540	1544	0	0
Bt011	3078	2350	540	1544	0	0
Bt012	3248	1723	530	1367	0	0
Bt013	5840	2210	610	3688	0	0
Bt014	5840	2210	610	3688	0	0
Bt015	1770	1300	1180	903	0	0
Bt016	1770	1300	1180	903	0	0
Bt017	1770	1300	1180	903	0	0
Bt018	1770	1300	1180	903	0	0
Bt019	2310	2260	430	1161	0	0
Bt020	2895	2160	740	2199	0	0
Bt021	2895	2160	740	2098	0	0
Bt022	5380	1490	135	635	0	0
Bt023	5380	1490	135	635	0	0
Bt024	5380	1490	425	2076	0	0
Bt025	2040	1490	1180	1973	0	0
Bt026	2040	1490	1180	1912	0	0
Bt027	2040	1490	1180	1941	0	0
Bt028	2040	1490	1180	1948	0	0
Bt029	2040	1490	1180	1948	0	0
Bt030	2040	1490	1180	1945	0	0
Bt031	2040	1490	1180	1945	0	0
Bt032	2040	1490	1140	1879	0	0
Bt033	4510	1950	509	2478	0	0
Bt034	4510	1950	509	2478	0	0
Bt035	5760	1550	600	2795	0	0
Bt036	5760	1550	600	2795	0	0
Bt037	5130	2265	480	2553	0	0
Bt038	4870	2215	610	2661	0	0
Bt039	3170	1870	475	1305	0	0
Bt040	1945	1000	1050	1008	0	0
Bt041	1945	1000	1050	998	0	0
Bt042	1945	1000	1050	1009	0	0
Bt043	1945	1000	1050	1016	0	0
Bt044	1945	1000	1009	972	0	0
Bt045	1945	1000	1009	972	0	0
Bt046	2060	1080	620	727	0	0
Bt047	2060	1060	730	846	0	0
Bt048	2060	1080	730	865	0	0
Bt049	2060	1060	730	856	0	0
Bt050	2060	1060	730	879	0	0
Bt051	2060	1060	730	868	0	0
Bt052	2060	1060	730	868	0	0
Bt053	2060	1080	730	858	0	0
Bt054	2060	1080	730	892	0	0
Bt055	2060	1080	730	886	0	0
Bt056	2060	1060	730	871	0	0
Bt057	2060	1060	730	903	0	0
Bt058	2060	1060	730	903	0	0
Bt059	2165	1204	840	1077	0	0
Bt060	2165	1204	840	1077	0	0
Bt061	2165	1204	840	1083	0	0
Bt062	2165	1204	840	1094	0	0
Bt063	2165	1204	840	1098	0	0
Bt064	2165	1204	840	1080	0	0
Bt065	2165	1204	840	1125	0	0
Bt066	4510	1950	510	1710	0	0
Bt067	4510	1950	510	1750	0	0
Bt068	4510	1950	510	1750	0	0
Bt069	4510	1950	510	1710	0	0
Bt070	5760	1550	600	1954	0	0
Bt071	5760	1550	670	2180	0	0
Bt072	2060	1015	410	416	0	0
Bt073	2060	1015	985	972	0	0
Bt074	2060	1015	985	1006	0	0
Bt075	2060	1015	985	1030	0	0
Bt076	2060	1015	985	1030	0	0
Bt077	2060	1015	985	1001	0	0
Bt078	2060	1015	985	1001	0	0
Bt079	2060	1015	985	980	0	0
Bt080	2060	1015	985	980	0	0
Bt081	2060	1015	985	990	0	0
Bt082	2060	1015	985	990	0	0
Bt083	2820	1410	855	1768	0	0
Bt084	2220	1090	1140	1451	0	0
Bt085	2220	1090	1180	1449	0	0
Bt086	2220	1090	1180	1424	0	0
Bt087	2220	1090	1180	1487	0	0
Bt088	2220	1090	1180	1461	0	0
Bt089	3050	1620	710	1472	0	0
Bt090	3050	1620	710	1449	0	0
Bt091	3050	1620	710	1449	0	0
Bt092	2390	1840	430	699	0	0
Bt093	5940	2342	295	2498	0	0
