Name                                      	S70_384T
Number_of_Customers                       	38
Number_of_Items                           	263
Number_of_ItemTypes                       	263
Number_of_Vehicles                        	38
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	1255630.2849280136	-331498.2905824242	0	0	0	0	0.0	0
1	-1140257.7471590515	1269377.4483462188	1	0	0	0	1068.0	2576700000
2	1405343.2468826587	170989.03317437207	15	0	0	0	15899.0	34252917400
3	2418659.625960949	240170.24471602406	16	0	0	0	13008.0	26923200000
4	1133878.0291816716	295107.27906853304	23	0	0	0	22982.0	50493101850
5	-230525.5566210647	-239746.2524984521	13	0	0	0	14317.0	32497332750
6	-384913.3418620338	-52537.75152175069	6	0	0	0	10222.0	20005173000
7	375810.8713603043	1244624.4841002875	8	0	0	0	15690.0	34107465600
8	611002.5106597864	1609496.4207096472	4	0	0	0	13754.0	24121978200
9	-1742296.5441827257	-377882.73681047536	12	0	0	0	17885.0	37827082600
10	-1790695.5968782897	-258850.06303927363	7	0	0	0	11054.0	21748003200
11	-1505923.576501407	-1004013.8508792938	7	0	0	0	13555.0	27572331000
12	-2047845.7468576517	-906610.4827085112	9	0	0	0	10548.0	20742421000
13	-1043708.5313371633	-709600.6874741168	1	0	0	0	2913.0	6018000000
14	-2189089.8016553796	-535607.2013017855	9	0	0	0	16387.0	34837072600
15	638254.2307442715	682708.4120303246	1	0	0	0	2909.0	6559018200
16	166582.27352201552	1785235.8956754894	2	0	0	0	1871.0	3947737800
17	135742.1858150939	1586320.379066353	1	0	0	0	2527.0	5796399600
18	-425985.24876972265	605601.0333132852	1	0	0	0	3812.0	5913696000
19	865707.343309306	-1042748.5395745686	4	0	0	0	4695.0	7375334400
20	228447.68657569736	-1088856.0725636657	6	0	0	0	19114.0	33863518500
21	138247.71398426782	-284954.96782639436	17	0	0	0	21930.0	50231878560
22	342272.0862934117	-1044912.747753073	2	0	0	0	3223.0	7850895000
23	929714.3113397232	-1353681.9785400976	10	0	0	0	10462.0	24259234500
24	1023514.6420771244	-1485029.329956601	5	0	0	0	3999.0	8540720400
25	1246029.4434218947	-1049160.0458973073	7	0	0	0	11736.0	25359673000
26	-178130.5403402877	642455.0922257435	4	0	0	0	9066.0	17406236160
27	-232893.72403182575	385125.88804891973	6	0	0	0	6466.0	14861196000
28	-284245.3462840807	436946.63106935204	4	0	0	0	3596.0	8049965000
29	160949.73828892224	507485.43190632254	14	0	0	0	18917.0	37635449400
30	170401.81427163782	119518.68598565755	2	0	0	0	3090.0	6530977200
31	-16941.36578307519	826657.7148069039	1	0	0	0	2566.0	6857620000
32	6712.521229831284	100029.97101650052	12	0	0	0	12743.0	25817687160
33	-684441.1421813279	485008.81203590176	6	0	0	0	7018.0	15903439000
34	-958513.8325690192	250912.6908312049	6	0	0	0	17608.0	28112921000
35	-977255.6670283726	-32550.126284425995	1	0	0	0	2100.0	4737405000
36	424272.7258512487	307025.5478829764	15	0	0	0	26500.0	50679286000
37	1572506.5667794733	-607098.0135290634	3	0	0	0	5877.0	10884265640
38	583983.457565176	-1145457.9572687387	2	0	0	0	2838.0	5198841000

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	2310	1205	1070	1424	0	0
Bt002	3500	2440	509	2365	0	0
Bt003	2031	1270	1180	1634	0	0
Bt004	2031	1270	1180	1634	0	0
Bt005	2031	1270	1180	1603	0	0
Bt006	2031	1270	1180	1603	0	0
Bt007	2031	1270	1180	1581	0	0
Bt008	2165	1204	710	876	0	0
Bt009	2165	1204	710	884	0	0
Bt010	2165	1204	710	884	0	0
Bt011	2165	1204	710	893	0	0
Bt012	2165	1204	710	879	0	0
Bt013	2165	1204	710	879	0	0
Bt014	2165	1204	710	895	0	0
Bt015	2165	1204	710	890	0	0
Bt016	2165	1204	710	906	0	0
Bt017	2165	1204	710	879	0	0
Bt018	2230	1155	730	860	0	0
Bt019	2230	1155	730	864	0	0
Bt020	2230	1155	730	840	0	0
Bt021	2230	1155	730	840	0	0
Bt022	3290	1980	480	1501	0	0
Bt023	3290	1980	480	1501	0	0
Bt024	3340	1675	740	1948	0	0
Bt025	2780	1500	855	1690	0	0
Bt026	3375	2130	710	2422	0	0
Bt027	3375	2130	710	2422	0	0
Bt028	2740	1740	710	1534	0	0
Bt029	5745	2240	265	1903	0	0
Bt030	2650	1490	934	2115	0	0
Bt031	2650	1490	934	2115	0	0
Bt032	2260	1700	710	1396	0	0
Bt033	2260	1700	710	1396	0	0
Bt034	2260	1700	710	1405	0	0
Bt035	2260	1700	710	1414	0	0
Bt036	2260	1700	870	1666	0	0
Bt037	2260	1700	870	1666	0	0
Bt038	2895	2160	740	2196	0	0
Bt039	2895	2160	740	2196	0	0
Bt040	2895	2160	740	2095	0	0
Bt041	2895	2160	740	2143	0	0
Bt042	2895	2160	740	2143	0	0
Bt043	2895	2160	740	2121	0	0
Bt044	5550	1660	250	1177	0	0
Bt045	5550	1660	250	1177	0	0
Bt046	5550	1660	250	1177	0	0
Bt047	4675	2385	340	2118	0	0
Bt048	4675	2385	340	2118	0	0
Bt049	3248	1723	610	1545	0	0
Bt050	3295	1980	580	1732	0	0
Bt051	2040	1490	495	944	0	0
Bt052	2040	1490	1140	2230	0	0
Bt053	2040	1490	1180	2085	0	0
Bt054	2040	1490	1180	2178	0	0
Bt055	2060	1015	985	1045	0	0
Bt056	2060	1015	985	1045	0	0
Bt057	2060	1015	985	1003	0	0
Bt058	2060	1015	985	1007	0	0
Bt059	2060	1015	985	1004	0	0
Bt060	2635	1940	430	1221	0	0
Bt061	3142	1920	519	1666	0	0
Bt062	2165	1204	730	712	0	0
Bt063	2165	1204	890	866	0	0
Bt064	2165	1204	800	796	0	0
Bt065	2165	1204	800	789	0	0
Bt066	2165	1204	710	700	0	0
Bt067	2165	1204	710	700	0	0
Bt068	2165	1204	710	686	0	0
Bt069	2165	1204	710	686	0	0
Bt070	2165	1204	710	695	0	0
Bt071	2165	1204	710	668	0	0
Bt072	2165	1204	710	668	0	0
Bt073	2165	1204	710	718	0	0
Bt074	2165	1204	710	668	0	0
Bt075	3140	1029	730	1481	0	0
Bt076	3140	1029	730	1494	0	0
Bt077	3140	1029	730	1494	0	0
Bt078	3140	1029	730	1478	0	0
Bt079	3140	1029	730	1472	0	0
Bt080	5600	2190	610	3084	0	0
Bt081	4375	2280	509	2470	0	0
Bt082	6580	2280	120	892	0	0
Bt083	6580	2280	120	893	0	0
Bt084	6580	2280	425	3020	0	0
Bt085	6580	2280	425	3035	0	0
Bt086	6580	2280	425	3073	0	0
Bt087	6580	2280	425	3029	0	0
Bt088	2915	1420	1140	2442	0	0
Bt089	2868	2180	696	2282	0	0
Bt090	2868	2180	696	2282	0	0
Bt091	2868	2180	696	2245	0	0
Bt092	2868	2180	696	2257	0	0
Bt093	2060	1015	985	932	0	0
Bt094	2060	1015	985	921	0	0
Bt095	2060	1015	940	876	0	0
Bt096	2060	1015	940	867	0	0
