Name                                      	S80_408T
Number_of_Customers                       	39
Number_of_Items                           	313
Number_of_ItemTypes                       	313
Number_of_Vehicles                        	39
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	1242496.4385984803	720421.6545080192	0	0	0	0	0.0	0
1	-1009998.0724664814	-695270.6281395444	9	0	0	0	12395.0	22948158900
2	-803084.5161322464	-855283.0459065188	4	0	0	0	8025.0	17687265550
3	2476295.999378323	364045.9319050368	2	0	0	0	2777.0	5760160000
4	1773254.9613867824	97577.80610159697	3	0	0	0	3578.0	7499359800
5	803937.3730479009	-1280551.1724903807	1	0	0	0	2757.0	6197074000
6	844719.9768811988	-1356687.4916653438	15	0	0	0	11206.0	25034990500
7	-2193397.831700616	715773.8477946519	4	0	0	0	16834.0	34954244800
8	-1571307.5564117287	906918.5984780465	7	0	0	0	11853.0	25154553950
9	-2021874.4972573342	99599.68041443858	10	0	0	0	25296.0	44112634500
10	779063.748046408	92830.70172572072	12	0	0	0	22470.0	40953782200
11	-2341077.7195849377	641737.4050287515	8	0	0	0	7626.0	14805828800
12	566469.0494007127	-328909.4340417459	2	0	0	0	2804.0	7790335000
13	1006971.8438872244	-318896.82927310513	1	0	0	0	623.0	1305645000
14	509705.6781794354	-1641225.9117826242	25	0	0	0	14914.0	37738805525
15	-235391.01973171637	-485576.4237637324	2	0	0	0	4448.0	9828384750
16	-277167.9475317995	-599622.8259094715	3	0	0	0	7721.0	12195223000
17	534847.4026277544	1146301.8352677503	6	0	0	0	4974.0	13423578000
18	10114.41935419885	1014950.2561081654	1	0	0	0	1769.0	3681749700
19	-179022.46166881904	454946.92370909866	18	0	0	0	14148.0	30162803090
20	535717.7431672688	398537.72979136766	4	0	0	0	11342.0	17363808000
21	1150175.4238904652	1426094.912716224	10	0	0	0	7946.0	17024810000
22	801071.4752500915	1787880.135855168	7	0	0	0	12231.0	31013742000
23	152115.3419680416	-183998.46544651315	10	0	0	0	19422.0	42682170800
24	-49232.82857397199	-522777.43589577544	17	0	0	0	23948.0	53770236500
25	260217.99063366593	-834137.9955498601	2	0	0	0	3074.0	4975020000
26	-619875.1554759786	-213309.2827810642	4	0	0	0	6590.0	16898520000
27	-555578.9683342009	315900.25928453705	5	0	0	0	8484.0	20569248000
28	-1155555.515694444	-518335.6159980346	2	0	0	0	5679.0	10871958400
29	-1018252.9445227499	-233745.71616513666	6	0	0	0	7078.0	18116022600
30	-786545.1109657759	413934.69365662674	5	0	0	0	4573.0	11701800000
31	-597698.5525466719	-104537.91464408555	9	0	0	0	15474.0	34301481120
32	-831874.5565808923	-146014.7780256826	13	0	0	0	16101.0	33878867000
33	-521676.8560845049	-146177.4250292732	7	0	0	0	10594.0	29255532400
34	-199536.97194730004	-58487.55644784008	5	0	0	0	11281.0	22024163600
35	1445224.2062830376	-1464445.1470255726	1	0	0	0	2173.0	5591565000
36	536011.5009239522	-35035.27737195922	22	0	0	0	9262.0	19003303100
37	684673.1935856477	618486.5979343636	17	0	0	0	18555.0	43556449160
38	1225641.672149169	1246376.0960373892	7	0	0	0	18561.0	38350081000
39	-370576.35542758764	-439288.6929636892	27	0	0	0	19322.0	34816983900

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	5920	2320	475	3572	0	0
Bt002	5920	2320	509	3534	0	0
Bt003	5920	2320	509	3534	0	0
Bt004	2868	2180	800	1771	0	0
Bt005	2795	2030	800	1599	0	0
Bt006	2795	2030	800	1607	0	0
Bt007	2795	2030	800	1599	0	0
Bt008	3310	2180	710	1790	0	0
Bt009	3230	1730	696	1314	0	0
Bt010	6160	2370	650	4489	0	0
Bt011	6160	2360	650	4443	0	0
Bt012	6170	2370	650	4296	0	0
Bt013	4900	1705	330	1652	0	0
Bt014	3340	1270	340	849	0	0
Bt015	6240	2090	390	2756	0	0
Bt016	6240	2090	390	2756	0	0
Bt017	6240	2090	390	2758	0	0
Bt018	5135	2430	390	2697	0	0
Bt019	2165	965	580	525	0	0
Bt020	2165	965	880	715	0	0
Bt021	2009	985	775	575	0	0
Bt022	2165	965	680	547	0	0
Bt023	2165	965	680	547	0	0
Bt024	2165	965	680	547	0	0
Bt025	2165	965	680	547	0	0
Bt026	2165	965	680	556	0	0
Bt027	2165	965	680	547	0	0
Bt028	2165	965	680	556	0	0
Bt029	2165	965	680	556	0	0
Bt030	2165	965	800	660	0	0
Bt031	2165	965	800	660	0	0
Bt032	2165	965	800	629	0	0
Bt033	2165	965	800	629	0	0
Bt034	2009	985	710	539	0	0
Bt035	2009	985	710	539	0	0
Bt036	2009	985	710	539	0	0
Bt037	2009	985	696	530	0	0
Bt038	2009	985	696	530	0	0
Bt039	2009	985	696	547	0	0
Bt040	2009	985	696	555	0	0
Bt041	2009	985	696	555	0	0
Bt042	2010	820	300	260	0	0
Bt043	2010	820	300	260	0	0
Bt044	5550	1660	265	1523	0	0
Bt045	2736	1960	750	1854	0	0
Bt046	2736	1960	750	1854	0	0
Bt047	2736	1960	710	1789	0	0
Bt048	2736	1960	710	1760	0	0
Bt049	2736	1960	710	1760	0	0
Bt050	2736	1960	696	1713	0	0
Bt051	2925	1685	190	460	0	0
Bt052	2500	1460	740	1240	0	0
Bt053	2500	1460	740	1352	0	0
Bt054	2500	1460	740	1346	0	0
Bt055	2500	1460	740	1346	0	0
Bt056	2009	985	710	646	0	0
Bt057	2009	985	710	656	0	0
Bt058	2009	985	710	646	0	0
Bt059	2009	985	710	646	0	0
Bt060	2009	985	710	646	0	0
Bt061	2009	985	696	656	0	0
Bt062	2009	985	885	828	0	0
Bt063	2009	985	885	815	0	0
Bt064	2009	985	885	828	0	0
Bt065	2009	985	885	828	0	0
Bt066	2009	985	885	815	0	0
Bt067	2009	985	885	815	0	0
Bt068	2009	985	885	828	0	0
Bt069	2009	985	885	828	0	0
Bt070	2009	985	700	666	0	0
Bt071	2009	985	700	666	0	0
Bt072	2009	985	700	637	0	0
Bt073	4960	2170	425	1545	0	0
Bt074	5745	2240	480	3195	0	0
Bt075	5745	2240	480	3124	0	0
Bt076	5745	2240	480	3124	0	0
Bt077	5745	2240	610	3796	0	0
Bt078	5745	2240	610	3752	0	0
Bt079	2868	2180	620	1613	0	0
Bt080	2868	2180	710	1947	0	0
Bt081	2868	2180	710	1947	0	0
Bt082	2868	2180	710	1892	0	0
Bt083	2868	2180	710	1892	0	0
Bt084	2868	2180	710	1853	0	0
Bt085	2390	1840	530	958	0	0
Bt086	2390	1840	530	958	0	0
Bt087	2927	2230	610	2183	0	0
Bt088	2927	2230	610	2199	0	0
Bt089	4120	1750	781	2635	0	0
Bt090	2040	1490	1050	1473	0	0
Bt091	2040	1490	1050	1480	0	0
Bt092	2040	1490	1050	1480	0	0
Bt093	2040	1490	1050	1412	0	0
Bt094	2040	1490	1050	1421	0	0
Bt095	3960	2220	730	2803	0	0
Bt096	2350	1435	1030	2101	0	0
Bt097	2350	1435	1030	2101	0	0
Bt098	2460	1455	1140	2384	0	0
Bt099	2460	1455	1140	2331	0	0
Bt100	2460	1455	1140	2331	0	0
Bt101	4180	1690	600	2832	0	0
Bt102	4180	1690	600	2832	0	0
Bt103	6210	2020	519	2976	0	0
Bt104	5035	2350	519	2807	0	0
Bt105	2030	1175	710	745	0	0
Bt106	2030	1175	710	744	0	0
Bt107	2030	1175	710	750	0	0
Bt108	2030	1175	710	750	0	0
Bt109	2030	1175	710	753	0	0
Bt110	2030	1175	710	745	0	0
Bt111	2030	1175	710	745	0	0
Bt112	2030	1175	710	742	0	0
Bt113	2030	1175	710	742	0	0
Bt114	2030	1175	710	748	0	0
Bt115	2030	1175	710	748	0	0
Bt116	3110	2080	740	2359	0	0
Bt117	6090	1790	410	2237	0	0
Bt118	5770	2180	509	3442	0	0
Bt119	2880	1790	570	1242	0	0
Bt120	2880	1790	855	1867	0	0
Bt121	2880	1790	855	1781	0	0
Bt122	2880	1790	855	1781	0	0
Bt123	2880	1790	855	1813	0	0
Bt124	3078	2350	509	1769	0	0
Bt125	5990	2000	320	2423	0	0
Bt126	6540	1765	330	2425	0	0
Bt127	5990	2000	380	2873	0	0
Bt128	5550	1660	250	1115	0	0
Bt129	5550	1660	250	1115	0	0
Bt130	5490	2100	510	2170	0	0
Bt131	5490	2100	510	2170	0	0
Bt132	5490	2100	510	2283	0	0
Bt133	4720	1720	540	1689	0	0
Bt134	4720	1720	540	1689	0	0
Bt135	3310	2135	640	1702	0	0
Bt136	3310	2135	640	1697	0	0
Bt137	3310	2135	640	1712	0	0
Bt138	4360	1140	670	1479	0	0
Bt139	5550	1660	270	1537	0	0
Bt140	5550	1660	270	1537	0	0
Bt141	2165	1204	710	962	0	0
Bt142	2165	1204	710	943	0	0
Bt143	2165	1204	710	943	0	0
Bt144	2165	1204	710	957	0	0
Bt145	2165	1204	710	962	0	0
Bt146	2165	1204	710	955	0	0
Bt147	2165	1204	710	952	0	0
