Name                                      	S90_432T
Number_of_Customers                       	44
Number_of_Items                           	293
Number_of_ItemTypes                       	293
Number_of_Vehicles                        	44
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	-1072342.8341522587	816200.0127946392	0	0	0	0	0.0	0
1	935074.7167021013	-1300274.3589401855	3	0	0	0	7618.0	15190312500
2	759032.3568123053	-714873.1674400441	11	0	0	0	13242.0	24549907650
3	974227.3215679689	-1497816.1737754259	4	0	0	0	2695.0	7915440000
4	909486.8020166056	-1266285.889918138	3	0	0	0	10895.0	20675118000
5	-927207.6650416113	320199.1048061334	7	0	0	0	12404.0	25074763000
6	-1624690.0566289523	382877.4830807921	12	0	0	0	16616.0	38469825300
7	-2001537.6282231493	208724.25725172038	20	0	0	0	8376.0	17450850000
8	-2091979.8346928335	580846.5898997625	1	0	0	0	1127.0	2966041120
9	-1699516.44249747	131241.39035821476	4	0	0	0	8862.0	19420978000
10	-676313.5701912736	-1195021.6319367415	4	0	0	0	10458.0	19824875136
11	-924189.3727881009	-1249510.85647293	8	0	0	0	9817.0	23491558000
12	-526613.1577066256	-1090977.5975610144	9	0	0	0	21108.0	44837461950
13	2205609.9925645054	361219.18389062374	9	0	0	0	8384.0	16071385800
14	2102367.6331803896	764115.1691560136	12	0	0	0	10895.0	24943348500
15	1562663.78275052	138379.9115971262	9	0	0	0	8685.0	18792232200
16	1263812.2838694027	640293.625063166	3	0	0	0	6380.0	14845899200
17	2461816.7387937796	589988.7806996898	3	0	0	0	11821.0	20204016000
18	-868114.5979611062	-519613.05576663266	7	0	0	0	7091.0	14416755500
19	-702659.194784753	-16395.23123196238	9	0	0	0	15758.0	31368235800
20	-781295.498969691	24405.5624675108	9	0	0	0	9650.0	23213304000
21	-653119.7531585672	1253787.4434508372	4	0	0	0	4954.0	11914152000
22	-1118440.8419517083	-845155.518005388	5	0	0	0	8574.0	18069417000
23	272734.897328583	798527.9544434124	10	0	0	0	19780.0	32698287400
24	383345.8829559823	973784.8049551266	1	0	0	0	1746.0	3138625000
25	-367913.81680617906	1567238.819400389	2	0	0	0	3406.0	5939215500
26	215910.67375033034	-454130.88780986395	5	0	0	0	8064.0	15527701075
27	248241.38028129985	-383719.6200353362	7	0	0	0	8912.0	19706033800
28	-123135.1660464757	-611151.2255876141	2	0	0	0	6495.0	18467988000
29	850908.0751482086	488176.19177880074	5	0	0	0	2928.0	7872113200
30	891051.5782922242	-426041.41087424196	5	0	0	0	4626.0	9253643000
31	708619.3016609938	-113461.06843120784	4	0	0	0	4170.0	8812268000
32	939650.5627071694	-169128.38205654267	5	0	0	0	9973.0	20103427500
33	774512.0252340701	-388316.9644846793	9	0	0	0	13724.0	28316906250
34	862942.7864112927	502522.3728775127	11	0	0	0	19739.0	34729836300
35	725253.2738477754	-274214.33457890764	3	0	0	0	8981.0	16472954250
36	-1572903.4923811045	-1580829.1896839414	9	0	0	0	9650.0	19311708000
37	-306399.0898318106	-138216.59615316597	14	0	0	0	32771.0	67889579000
38	-281009.0808199625	560417.142774288	14	0	0	0	15711.0	31386274500
39	-1003065.0835390985	1170739.952921476	4	0	0	0	5766.0	13007409450
40	-261440.94239349387	990817.9136877239	5	0	0	0	6170.0	11478058000
41	-339482.17203957436	748672.8574309679	5	0	0	0	8091.0	14678575200
42	415421.62133404566	-472419.1678312214	6	0	0	0	8272.0	15393792000
43	-376361.59057031514	278457.36679423123	10	0	0	0	15620.0	33344412000
44	-162952.80403343705	415918.43699502846	1	0	0	0	2119.0	4574360000

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	1980	1200	934	637	0	0
Bt002	1980	1200	934	657	0	0
Bt003	1980	1200	934	812	0	0
Bt004	1980	1200	934	802	0	0
Bt005	1980	1200	934	813	0	0
Bt006	1980	1200	934	813	0	0
Bt007	2060	1080	730	606	0	0
Bt008	2060	1080	730	737	0	0
Bt009	2060	1080	730	737	0	0
Bt010	5815	1760	509	2189	0	0
Bt011	5815	1760	509	2189	0	0
Bt012	2060	1080	730	882	0	0
Bt013	2060	1060	730	843	0	0
Bt014	2060	1080	730	878	0	0
Bt015	2060	1080	730	878	0	0
Bt016	2060	1080	730	837	0	0
Bt017	2060	1080	730	837	0	0
Bt018	2060	1060	730	887	0	0
Bt019	2060	1060	730	887	0	0
Bt020	3825	1630	781	1759	0	0
Bt021	3825	1630	730	1649	0	0
Bt022	3825	1630	730	1673	0	0
Bt023	2770	1430	696	1115	0	0
Bt024	2770	1430	696	1079	0	0
Bt025	2160	1010	730	729	0	0
Bt026	2160	1010	730	707	0	0
Bt027	2160	1010	730	693	0	0
Bt028	2160	1010	730	715	0	0
Bt029	2160	1010	730	722	0	0
Bt030	2160	1010	730	722	0	0
Bt031	2160	1010	730	715	0	0
Bt032	5770	2180	540	4755	0	0
Bt033	2345	1450	1030	1762	0	0
Bt034	4610	1975	180	689	0	0
Bt035	4610	1975	180	689	0	0
Bt036	3050	1620	810	2031	0	0
Bt037	3050	1620	710	1756	0	0
Bt038	3050	1620	710	1756	0	0
Bt039	3050	1620	805	2006	0	0
Bt040	3050	1620	805	2006	0	0
Bt041	3050	1620	805	1987	0	0
Bt042	3050	1620	696	1699	0	0
Bt043	3050	1620	696	1699	0	0
Bt044	2245	1348	1140	2107	0	0
Bt045	2245	1348	1140	2107	0	0
Bt046	2245	1348	1140	2063	0	0
Bt047	2245	1348	1140	2063	0	0
Bt048	2245	1348	1180	2130	0	0
Bt049	2245	1348	1180	2130	0	0
Bt050	2245	1348	1180	2220	0	0
Bt051	2245	1348	1180	2205	0	0
Bt052	2615	2330	430	1471	0	0
Bt053	2615	2330	430	1471	0	0
Bt054	6210	2020	505	3555	0	0
Bt055	6210	2020	505	3555	0	0
Bt056	5600	2190	610	3342	0	0
Bt057	5600	2190	610	3342	0	0
Bt058	2960	2190	190	524	0	0
Bt059	5980	2410	430	2578	0	0
Bt060	5980	2410	430	2542	0	0
Bt061	4385	2330	610	2192	0	0
Bt062	2570	1420	900	1395	0	0
Bt063	2280	1960	750	1787	0	0
Bt064	2280	1960	750	1804	0	0
Bt065	4350	1515	625	2019	0	0
Bt066	5840	2210	610	3688	0	0
Bt067	5840	2210	610	3688	0	0
Bt068	2031	1270	1180	1150	0	0
Bt069	2031	1270	1180	1172	0	0
Bt070	2031	1270	1180	1172	0	0
Bt071	2031	1270	1180	1168	0	0
Bt072	2031	1270	1180	1145	0	0
Bt073	2031	1270	1180	1207	0	0
Bt074	5550	1660	265	1339	0	0
Bt075	5260	2230	320	1907	0	0
Bt076	4920	2270	519	2419	0	0
Bt077	5380	2290	530	4801	0	0
Bt078	5380	2290	530	4801	0	0
Bt079	4610	1975	180	848	0	0
Bt080	2650	1490	1070	1603	0	0
Bt081	2960	1740	530	1541	0	0
Bt082	3245	2155	509	1732	0	0
Bt083	2230	1155	730	827	0	0
Bt084	2230	1155	730	827	0	0
Bt085	2230	1155	730	858	0	0
Bt086	2230	1155	730	856	0	0
Bt087	2230	1155	730	859	0	0
Bt088	2230	1155	730	861	0	0
Bt089	1980	1200	885	1096	0	0
Bt090	1980	1200	885	1096	0	0
Bt091	1980	1200	985	1155	0	0
Bt092	1980	1200	985	1155	0	0
Bt093	1980	1200	985	1111	0	0
Bt094	1980	1200	985	1077	0	0
Bt095	1980	1200	985	1120	0	0
Bt096	1980	1200	985	1120	0	0
Bt097	3212	2217	696	2633	0	0
Bt098	3212	2217	696	2633	0	0
Bt099	3212	2217	696	2596	0	0
Bt100	3212	2217	696	2596	0	0
Bt101	2165	1204	310	280	0	0
Bt102	2165	1204	580	559	0	0
Bt103	2165	1204	710	699	0	0
Bt104	2165	1204	710	694	0	0
Bt105	2165	1204	710	696	0	0
Bt106	6160	2370	645	3377	0	0
Bt107	6160	2370	620	3118	0	0
