Name                                      	S96_456T
Number_of_Customers                       	45
Number_of_Items                           	326
Number_of_ItemTypes                       	326
Number_of_Vehicles                        	45
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	-826868.5128508629	434286.1281109452	0	0	0	0	0.0	0
1	1145038.505371039	-903689.7661614293	11	0	0	0	9934.0	18583211600
2	-1336662.3576105786	-41199.798806000435	4	0	0	0	3912.0	7402914400
3	-2109476.5242182864	-101290.00458507297	6	0	0	0	14121.0	28356534000
4	-1281653.4838358858	437513.5740126485	8	0	0	0	11375.0	23768338600
5	-1372187.7178834255	-332851.68668505154	16	0	0	0	17949.0	37231920000
6	-793154.1700551194	-228198.6732293945	7	0	0	0	8376.0	18333120000
7	-1340931.0931568542	-233232.8218755122	11	0	0	0	12472.0	27861707400
8	-318923.2600970246	-1613460.6159634192	2	0	0	0	3080.0	5860512000
9	2459379.8523223028	799271.3905888371	1	0	0	0	1156.0	2635160000
10	2183861.1132385423	11931.768314370176	6	0	0	0	9095.0	16742287250
11	143375.94759545944	235325.47151927324	2	0	0	0	3003.0	7893025000
12	-344893.1845661816	399632.57794160565	3	0	0	0	8189.0	17777832500
13	2542028.8091774387	127850.18836006502	20	0	0	0	22610.0	46150959840
14	-505947.3245385943	-795169.7886824739	14	0	0	0	23108.0	43980379650
15	-208972.26813419224	-633586.0415287982	2	0	0	0	3672.0	6200849500
16	-324322.89553539624	-713240.3933397266	5	0	0	0	7293.0	14960346000
17	-367385.5470855687	-333203.91547092306	12	0	0	0	11188.0	24805826500
18	-341480.69609083375	-341145.97877286415	2	0	0	0	4152.0	11324544000
19	-414305.4291365111	1070241.7567732278	5	0	0	0	5401.0	13447843750
20	532733.3061674179	586454.7347226484	11	0	0	0	14353.0	40319958400
21	269134.8954869261	1352615.926099307	4	0	0	0	9562.0	17779705200
22	-547260.8467425188	49661.76773677862	18	0	0	0	13471.0	33397964000
23	-383495.6662297781	140309.06675882678	2	0	0	0	1940.0	3957720000
24	-479968.99055364646	1303819.8111484153	1	0	0	0	1893.0	3954150000
25	-411284.34803420224	1692148.85279565	2	0	0	0	4189.0	9645482250
26	627498.5247944022	-617384.3785291495	8	0	0	0	6426.0	16476292000
27	275338.7189178268	-217757.97943593006	2	0	0	0	6495.0	18467988000
28	422455.23954656965	-352022.90058930626	10	0	0	0	17898.0	38298386280
29	79160.23629053327	-918760.9333361536	8	0	0	0	10763.0	23672790400
30	1487524.5314438036	-600751.5245691361	6	0	0	0	14062.0	27956304000
31	1376683.7251928789	-243005.95225944545	9	0	0	0	16100.0	36514267400
32	1003986.857275736	152990.46265543686	6	0	0	0	12178.0	24900503600
33	1474662.339360411	-407221.32503644214	3	0	0	0	9329.0	14949787600
34	1228551.1896771572	260767.30757798598	8	0	0	0	17377.0	29731826250
35	1033502.1126406045	-573082.5314340108	7	0	0	0	11517.0	22554756000
36	-204043.35277646172	-239376.61070901228	26	0	0	0	24807.0	52866641100
37	-973281.8160464604	874180.4586940419	4	0	0	0	6267.0	11288642000
38	-904198.565046775	903314.7573459181	1	0	0	0	657.0	1052512500
39	-41427.53414796593	420370.44002427894	8	0	0	0	15052.0	32706200000
40	-76343.20344556756	461230.62952330546	3	0	0	0	5904.0	11989550400
41	-1007642.9943872695	-1195483.6753804612	8	0	0	0	9045.0	21956704000
42	-1110664.3133342252	-1214109.5082805129	7	0	0	0	618.0	1264822820
43	-83045.0110450859	2075.8959782598895	16	0	0	0	24005.0	51410283000
44	-62897.93754072536	-2559.854240816785	6	0	0	0	13944.0	26527122000
45	-112196.86037305159	1135793.6922192168	5	0	0	0	8150.0	16206776250

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	5815	1760	540	2170	0	0
Bt002	3350	1030	580	974	0	0
Bt003	3060	1950	360	813	0	0
Bt004	3060	1950	360	794	0	0
Bt005	3060	1950	360	793	0	0
Bt006	3060	1950	360	793	0	0
Bt007	3290	1660	750	1480	0	0
Bt008	2165	1204	650	689	0	0
Bt009	2165	1204	710	775	0	0
Bt010	2165	1204	710	775	0	0
Bt011	2165	1204	710	759	0	0
Bt012	2165	1204	710	763	0	0
Bt013	2620	1200	1230	1584	0	0
Bt014	2155	990	730	706	0	0
Bt015	2155	990	730	706	0	0
Bt016	2165	1204	710	924	0	0
Bt017	2165	1204	710	961	0	0
Bt018	2165	1204	710	934	0	0
Bt019	2165	1204	710	934	0	0
Bt020	2165	1204	710	946	0	0
Bt021	2165	1204	710	946	0	0
Bt022	2165	1204	882	1189	0	0
Bt023	2165	1204	882	1226	0	0
Bt024	2895	2160	855	2693	0	0
Bt025	2895	2160	855	2637	0	0
Bt026	2895	2160	855	2670	0	0
Bt027	2895	2160	855	2594	0	0
Bt028	2895	2160	855	2613	0	0
Bt029	5745	2240	480	3067	0	0
Bt030	5745	2240	480	3067	0	0
Bt031	5745	2240	480	3058	0	0
Bt032	5745	2240	480	3058	0	0
Bt033	2910	1040	1030	1184	0	0
Bt034	2910	1040	1030	1184	0	0
Bt035	2910	1040	1180	1336	0	0
Bt036	2910	1040	1180	1332	0	0
Bt037	2910	1040	1180	1318	0	0
Bt038	2910	1040	1180	1336	0	0
Bt039	5745	2240	610	3458	0	0
Bt040	5745	2240	610	3480	0	0
Bt041	5745	2240	610	3480	0	0
Bt042	1960	1120	1030	1072	0	0
Bt043	1960	1120	1050	1091	0	0
Bt044	2010	820	934	625	0	0
Bt045	2010	820	934	632	0	0
Bt046	2345	1335	1180	1652	0	0
Bt047	2345	1335	1180	1652	0	0
Bt048	2020	1097	1180	1189	0	0
Bt049	2020	1097	1180	1189	0	0
Bt050	2020	1097	1180	1189	0	0
Bt051	2020	1097	1180	1189	0	0
Bt052	2030	1490	934	1379	0	0
Bt053	2030	1490	934	1390	0	0
Bt054	2030	1490	934	1379	0	0
Bt055	2030	1490	934	1379	0	0
Bt056	2030	1490	934	1379	0	0
Bt057	2030	1490	934	1390	0	0
Bt058	2030	1490	934	1379	0	0
Bt059	1980	1200	870	1061	0	0
Bt060	1980	1200	870	1061	0	0
Bt061	1980	1200	1070	1249	0	0
Bt062	1980	1200	1070	1279	0	0
Bt063	1980	1200	1070	1279	0	0
Bt064	1980	1200	1070	1285	0	0
Bt065	1980	1200	934	1123	0	0
Bt066	1980	1200	934	1129	0	0
Bt067	1980	1200	934	1125	0	0
Bt068	1980	1200	934	1125	0	0
Bt069	1980	1200	1140	1382	0	0
Bt070	3170	1870	475	1305	0	0
Bt071	6210	2020	505	4304	0	0
Bt072	6210	2020	505	4304	0	0
Bt073	5745	2240	480	3079	0	0
Bt074	5745	2240	480	3050	0	0
Bt075	2230	115	730	104	0	0
Bt076	2230	115	730	104	0	0
Bt077	2230	115	730	104	0	0
Bt078	2230	115	730	104	0	0
Bt079	2230	115	730	104	0	0
Bt080	2060	1015	985	970	0	0
Bt081	2060	1015	985	970	0	0
Bt082	2060	1015	985	968	0	0
Bt083	2060	1015	985	969	0	0
Bt084	2060	1015	985	976	0	0
Bt085	2060	1015	985	977	0	0
Bt086	2060	1015	985	964	0	0
Bt087	2060	1015	985	979	0	0
Bt088	2060	1015	985	979	0	0
Bt089	2060	1015	985	973	0	0
Bt090	2060	1015	985	973	0	0
Bt091	2060	1015	985	912	0	0
Bt092	2060	1015	985	912	0	0
Bt093	4205	1770	495	2159	0	0
Bt094	4205	1770	530	2153	0	0
Bt095	2030	1175	710	745	0	0
Bt096	2030	1175	710	744	0	0
Bt097	2030	1175	710	750	0	0
Bt098	2030	1175	710	750	0	0
Bt099	2030	1175	710	753	0	0
Bt100	2030	1175	710	745	0	0
Bt101	2030	1175	710	745	0	0
Bt102	2030	1175	710	742	0	0
Bt103	2030	1175	710	742	0	0
Bt104	2030	1175	710	748	0	0
Bt105	2030	1175	710	748	0	0
Bt106	2375	1595	561	1035	0	0
Bt107	2375	1595	561	1035	0	0
Bt108	2225	1034	730	938	0	0
Bt109	2225	1034	730	922	0	0
Bt110	2225	1034	730	922	0	0
Bt111	2225	1034	730	943	0	0
Bt112	2225	1034	730	943	0	0
Bt113	2225	1034	730	927	0	0
Bt114	2225	1034	730	927	0	0
Bt115	2225	1034	730	925	0	0
Bt116	2225	1034	730	925	0	0
Bt117	2225	1034	730	921	0	0
Bt118	2060	1060	730	944	0	0
Bt119	2060	1060	730	921	0	0
Bt120	2060	1060	730	947	0	0
Bt121	2060	1060	730	958	0	0
Bt122	2060	1060	730	910	0	0
Bt123	2060	1060	730	910	0	0
Bt124	4760	2430	425	3013	0	0
Bt125	4760	2430	425	3013	0	0
