Name                                      	S99_480T
Number_of_Customers                       	45
Number_of_Items                           	333
Number_of_ItemTypes                       	333
Number_of_Vehicles                        	45
TimeWindows                               	0

VEHICLE
Mass_Capacity                             	24000
CargoSpace_Length                         	13500
CargoSpace_Width                          	2450
CargoSpace_Height                         	2700
Wheelbase                                 	3790
Max_Mass_FrontAxle                        	8400
Max_Mass_RearAxle                         	12075
Max_Mass_TrailerAxle                      	24120
Distance_Kingpin_RearAxle                 	560
Distance_Kingpin_TrailerAxle              	8160
Distance_CargoSpace_TrailerAxle           	9550
Distance_Mass_Tractor_RearAxle            	2568
Distance_Mass_Trailer_TrailerAxle         	1632
Mass_Tractor                              	8197
Mass_Trailer                              	6472

CUSTOMERS
i	x	y	Demand	ReadyTime	DueDate	ServiceTime	DemandedMass	DemandedVolume
0	-731809.671455774	1049389.9673061133	0	0	0	0	0.0	0
1	650536.7470231901	-1107976.2867236107	4	0	0	0	4374.0	9408960000
2	629251.8934507035	-1781253.9416695794	6	0	0	0	12011.0	23151744000
3	786708.0390606199	-1121087.5269560763	1	0	0	0	1580.0	3271101300
4	-1723736.8523570201	985354.3289066259	4	0	0	0	6348.0	12712050000
5	-1325972.453038823	-1131457.4424025805	6	0	0	0	9305.0	15626323450
6	-847652.044626216	-1000808.616070025	7	0	0	0	6550.0	11368728000
7	-719680.81916252	-720466.4181669722	10	0	0	0	16834.0	30442882500
8	1796099.8316574923	-630279.007177077	7	0	0	0	10438.0	17241690440
9	2259228.208999763	72602.26579740547	13	0	0	0	25705.0	49072301000
10	1801489.5295470036	-453075.66459752753	2	0	0	0	3604.0	6987648000
11	-297317.750004071	867634.2986419714	12	0	0	0	20111.0	36380606000
12	2562202.9337960617	-426772.499098264	2	0	0	0	3211.0	6087313200
13	-940611.0567017557	-281667.2781837895	5	0	0	0	4934.0	12155854000
14	-842968.6054805237	-210079.73126711397	14	0	0	0	14364.0	29347767400
15	-626839.3981917626	-1458152.8168936344	4	0	0	0	7200.0	14835086000
16	-633314.1461410783	-1471887.8293720433	3	0	0	0	2421.0	6768600000
17	181083.19582967018	-644067.3148939135	13	0	0	0	12698.0	25006018600
18	-1313516.3923040428	-452031.9319185331	3	0	0	0	3725.0	6368627000
19	512504.3191601527	1132457.9274983231	2	0	0	0	3858.0	6529434500
20	610863.8078382636	1386135.3985638819	9	0	0	0	10596.0	28626951300
21	423442.0554978329	527509.697711825	8	0	0	0	9642.0	18995290750
22	660705.8530264862	1397901.7073682782	3	0	0	0	2688.0	5727465000
23	693385.4346178595	721346.9890079281	9	0	0	0	18312.0	36832647500
24	-632034.1503642383	588481.4665601023	5	0	0	0	16010.0	28804734000
25	171667.6225643094	1936744.357085533	9	0	0	0	15762.0	36747227600
26	241386.64859805952	1865530.2813283396	2	0	0	0	5256.0	7651314000
27	-157419.02179405952	1568528.8371038546	13	0	0	0	15355.0	31863621000
28	-366897.71614039916	-554902.6509356253	8	0	0	0	20494.0	49416192000
29	-116383.33455450038	-298353.78844617185	2	0	0	0	4955.0	8345103770
30	122123.62973621904	-552977.8063082239	3	0	0	0	8692.0	16970092000
31	-149006.0617144623	-510382.1684046188	14	0	0	0	22118.0	42545604600
32	-343048.3839339652	-698868.4573900825	2	0	0	0	124.0	263712000
33	304722.131542012	-322552.17622404895	1	0	0	0	1312.0	2798152000
34	-124900.32785729687	-169338.91278419353	11	0	0	0	10812.0	17649555000
35	790456.4466432999	-195403.33026690184	15	0	0	0	22756.0	44546786000
36	1085814.118290199	-29709.302783497467	8	0	0	0	10445.0	22298575800
37	631365.5954106293	-562809.35417438	10	0	0	0	9715.0	20808636800
38	485153.8973160373	-502380.4258571408	25	0	0	0	17311.0	45313374950
39	883296.65050856	264874.1050138333	10	0	0	0	13217.0	30167971500
40	-1760500.9967575027	-806800.6255794603	9	0	0	0	16098.0	38003645800
41	-636527.9621546051	1515459.6878170902	8	0	0	0	17192.0	42031776000
42	-621807.84872882	1416671.5383039874	21	0	0	0	27942.0	53318797800
43	-53429.00279187609	746553.0547136277	3	0	0	0	5807.0	10986972200
44	-1591999.9736134824	96880.3476881435	4	0	0	0	5276.0	12961932000
45	-1726114.6202456304	-44512.95187177843	3	0	0	0	2883.0	6222182000

ITEMS
Type	Length	Width	Height	Mass	Fragility	LoadBearingStrength
Bt001	2165	1204	880	1142	0	0
Bt002	2165	1204	800	956	0	0
Bt003	2165	1204	800	946	0	0
Bt004	2165	1204	800	946	0	0
Bt005	2165	1204	800	946	0	0
Bt006	2165	1204	800	1014	0	0
Bt007	2165	1204	800	956	0	0
Bt008	2165	1204	800	956	0	0
Bt009	2165	1204	800	975	0	0
Bt010	2165	1204	710	856	0	0
Bt011	2165	1204	710	856	0	0
Bt012	2165	1204	710	864	0	0
Bt013	2165	1204	710	864	0	0
Bt014	2165	1204	710	856	0	0
Bt015	3290	1980	480	1501	0	0
Bt016	3290	1980	480	1501	0	0
Bt017	3340	1675	740	1948	0	0
Bt018	2780	1500	855	1690	0	0
Bt019	3375	2130	710	2422	0	0
Bt020	3375	2130	710	2422	0	0
Bt021	2740	1740	710	1534	0	0
Bt022	4870	2215	480	2612	0	0
Bt023	4870	2215	610	3296	0	0
Bt024	2165	1204	710	680	0	0
Bt025	2620	1200	1160	1243	0	0
Bt026	2620	1200	1065	1225	0	0
Bt027	2620	1200	1065	1225	0	0
Bt028	2165	1204	1065	1001	0	0
Bt029	2165	1204	1065	1001	0	0
Bt030	2165	1204	1065	1001	0	0
Bt031	5600	2190	150	827	0	0
Bt032	5600	2190	150	827	0	0
Bt033	5035	2350	270	2235	0	0
Bt034	5035	2350	270	2235	0	0
Bt035	5380	2290	610	4419	0	0
Bt036	5380	2290	610	4419	0	0
Bt037	2031	1270	1140	1370	0	0
Bt038	2031	1270	1140	1395	0	0
Bt039	2031	1270	1140	1380	0	0
Bt040	2031	1270	1140	1442	0	0
Bt041	2031	1270	1140	1407	0	0
Bt042	2031	1270	1140	1382	0	0
Bt043	2031	1270	1180	1370	0	0
Bt044	2031	1270	1180	1370	0	0
Bt045	2031	1270	1180	1358	0	0
Bt046	5940	2342	275	2397	0	0
Bt047	5980	2410	430	3935	0	0
Bt048	2880	2360	475	1984	0	0
Bt049	2690	1270	985	1892	0	0
Bt050	2690	1270	985	1892	0	0
Bt051	4584	1975	220	789	0	0
Bt052	5380	1490	150	748	0	0
Bt053	5380	1490	150	748	0	0
Bt054	5380	1490	150	754	0	0
Bt055	5380	1490	425	2102	0	0
Bt056	5380	1490	425	2172	0	0
Bt057	5380	1490	425	2172	0	0
Bt058	5380	2290	530	3428	0	0
Bt059	5380	2290	530	3428	0	0
Bt060	3050	1890	520	1796	0	0
Bt061	5490	2100	265	1488	0	0
Bt062	5980	2410	430	3780	0	0
Bt063	6210	2020	540	4744	0	0
Bt064	2620	2230	1140	3463	0	0
Bt065	2620	2230	1200	3550	0	0
Bt066	5100	1930	440	1950	0	0
Bt067	5100	1930	440	1950	0	0
Bt068	5100	1930	440	1904	0	0
Bt069	5100	1930	440	1904	0	0
Bt070	2880	2360	370	1611	0	0
Bt071	2861	1775	519	1575	0	0
Bt072	2861	1775	519	1575	0	0
Bt073	2861	1775	640	1953	0	0
Bt074	2861	1775	640	1953	0	0
Bt075	2140	2090	740	1513	0	0
Bt076	2140	2090	740	1513	0	0
Bt077	2430	1300	970	1469	0	0
Bt078	5745	2240	480	2169	0	0
Bt079	5745	2240	480	1948	0	0
Bt080	5745	2240	480	2151	0	0
Bt081	5745	2240	480	2151	0	0
Bt082	5745	2240	480	1957	0	0
Bt083	2895	2160	855	1873	0	0
Bt084	2895	2160	855	1873	0	0
Bt085	2895	2160	855	1925	0	0
Bt086	2895	2160	855	1925	0	0
Bt087	2736	1960	690	1802	0	0
Bt088	2736	1960	690	1802	0	0
Bt089	2736	1960	690	1802	0	0
Bt090	2736	1960	690	1811	0	0
Bt091	5600	2190	610	2682	0	0
Bt092	2165	1204	710	713	0	0
Bt093	2165	1204	710	713	0	0
Bt094	2165	1204	710	698	0	0
Bt095	2165	1204	710	696	0	0
Bt096	2165	1204	710	710	0	0
Bt097	2165	1204	710	711	0	0
Bt098	2165	1204	710	711	0	0
Bt099	2165	1204	710	717	0	0
Bt100	2165	1204	710	720	0	0
Bt101	2165	1204	710	718	0	0
Bt102	2165	1204	710	718	0	0
Bt103	2020	1097	1180	1545	0	0
Bt104	2640	980	775	1025	0	0
Bt105	2640	980	775	1044	0	0
Bt106	2640	980	775	1044	0	0
Bt107	3230	855	775	1114	0	0
Bt108	2680	990	690	1042	0	0
