Wed Sep 16 10:09:03 2026
Inst; Seed; TruckId; NumberOfItems; ModelStatus; ModelTime; ExtremePoitsHeurStatus; ExtremePoitsHeurTime; GA_Status; GA_Time
S10_240T; 2737851811; 0; 17; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0034; TIME_LIMIT; 0.3406 
S10_240T; 2737851811; 1; 14; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0037; TIME_LIMIT; 0.2035 
S10_240T; 2737851811; 2; 10; INFEASIBLE; 0.0000; FEASIBLE; 0.0001; FEASIBLE; 0.0002 
S10_240T; 2737851811; 3; 9; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0004; FEASIBLE; 0.0013 
S10_240T; 2737851811; 4; 19; INFEASIBLE; 0.0000; FEASIBLE; 0.0023; FEASIBLE; 0.0045 
S10_240T; 2737851811; 5; 20; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0008; TIME_LIMIT; 0.2986 
S10_240T; 2737851811; 6; 9; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0042; TIME_LIMIT; 0.1209 
S10_240T; 2737851811; 7; 21; INFEASIBLE; 0.0000; FEASIBLE; 0.0007; FEASIBLE; 0.0047 
S20_288T; 2590096409; 0; 9; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0034; FEASIBLE; 0.0174 
S20_288T; 2590096409; 1; 19; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0030; TIME_LIMIT; 1.1826 
S20_288T; 2590096409; 2; 9; INFEASIBLE; 0.0000; FEASIBLE; 0.0000; FEASIBLE; 0.0002 
S20_288T; 2590096409; 3; 9; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0022; FEASIBLE; 0.0001 
S20_288T; 2590096409; 4; 12; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0026; TIME_LIMIT; 0.3210 
S20_288T; 2590096409; 5; 15; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0050; TIME_LIMIT; 0.3533 
S20_288T; 2590096409; 6; 20; INFEASIBLE; 0.0000; FEASIBLE; 0.0010; FEASIBLE; 0.0006 
S20_288T; 2590096409; 7; 11; INFEASIBLE; 0.0000; FEASIBLE; 0.0001; TIME_LIMIT; 0.2846 
S20_288T; 2590096409; 8; 15; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0022; TIME_LIMIT; 0.4663 
S20_288T; 2590096409; 9; 21; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0048; FEASIBLE; 0.0015 
S20_288T; 2590096409; 10; 17; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0031; FEASIBLE; 0.0103 
S30_288T; 1660408890; 0; 10; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0030; FEASIBLE; 0.0015 
S30_288T; 1660408890; 1; 12; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0037; FEASIBLE; 0.0094 
S30_288T; 1660408890; 2; 15; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0047; TIME_LIMIT; 0.7708 
S30_288T; 1660408890; 3; 13; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0049; FEASIBLE; 0.0006 
S30_288T; 1660408890; 4; 19; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0028; FEASIBLE; 0.3002 
S30_288T; 1660408890; 5; 23; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0040; TIME_LIMIT; 1.1448 
S30_288T; 1660408890; 6; 21; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0015; TIME_LIMIT; 0.9341 
S30_288T; 1660408890; 7; 17; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0043; TIME_LIMIT; 0.4097 
S30_288T; 1660408890; 8; 12; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0013; FEASIBLE; 0.0368 
S30_288T; 1660408890; 9; 18; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0034; TIME_LIMIT; 1.2079 
S30_288T; 1660408890; 10; 20; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0031; TIME_LIMIT; 0.6678 
S30_288T; 1660408890; 11; 24; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0025; TIME_LIMIT; 0.2079 
S40_336T; 358334778; 0; 26; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0004; TIME_LIMIT; 1.2674 
S40_336T; 358334778; 1; 9; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0038; TIME_LIMIT; 0.5176 
S40_336T; 358334778; 2; 14; INFEASIBLE; 0.0000; FEASIBLE; 0.0193; FEASIBLE; 0.0039 
S40_336T; 358334778; 3; 20; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0019; TIME_LIMIT; 0.7081 
S40_336T; 358334778; 4; 15; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0005; TIME_LIMIT; 0.9016 
S40_336T; 358334778; 5; 12; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0017; FEASIBLE; 0.0006 
S40_336T; 358334778; 6; 23; INFEASIBLE; 0.0000; TIME_LIMIT; 3.0037; FEASIBLE; 0.0039 
